1. 失血性休克的“5P”临床表现不正确的是
   D. 复苏、输液、气管切开、止血、包扎、固定
 ->E. 复苏、通气、止血、包扎、固定、搬运

1612. 创伤类型不包括的是
   A. 切割伤或挫伤
 ->B. 刀伤
   C. 钝挫伤
   D. 弹道伤
   E. 刺伤

1613. 下列菌属中属于非发酵菌属的是
   A. 克雷伯菌属
   B. 气单胞菌属
 ->C. 不动杆菌属
   D. 埃希菌属
   E. 变形杆菌属

1614. 休克患者常出现的酸碱平衡失常为
 ->A. 代谢性酸中毒
   B. 代谢性碱中毒
   C. 呼吸性酸中毒
   D. 呼吸性碱中毒
   E. 混合型

1615. 有关肾替代治疗的机制描述正确的是
   A. 弥散作用是血液滤过治疗中溶质清除的主要机制
   B. 对流机制是血液透析治疗中溶质清除的主要机制
   C. 吸附作用是血液透析的主要作用机制
 ->D. 弥散作用是血液透析的主要作用机制
   E. 吸附作用是血浆滤过的主要作用机制

1616. 应激时交感-肾上腺髓质系统兴奋所产生的防御性反应是
   A. 心率加快、心肌收缩力增强
   B. 支气管扩张加强通气
   C. 促进糖原分解使血糖增高
   D. 血液重新分布
 ->E. 以上都是

1617. 中暑按其发病机制不同可分为
   A. 轻症中暑，重症中暑
   B. 热适应，热痉挛和热衰竭
   C. 热适应，热射病和热衰竭
   D. 热辐射，热痉挛和热衰竭
 ->E. 热射病，热痉挛和热衰竭

1618. 急性阑尾炎早期上腹及脐周围疼痛是由于
   A. 胃肠道反射性痉挛
   B. 腹膜炎症刺激
   C. 内脏功能紊乱
   D. 合并急性胃肠炎
 ->E. 内脏神经反射

1619. 以下哪项是MODS的发病机制的假说
   A. 缺血-再灌注损伤与氧自由基学说
   B. 细菌-内毒素学说
   C. 炎症失控学说
   D. 胃肠道动力学说
 ->E. 以上均是

1620. 血浆置换常用的置换液包括
   A. 乳酸盐
   B. 柠檬酸盐
   C. 碳酸氢盐
   D. 等渗葡萄糖
 ->E. 人体白蛋白

1621. 哪种抗体是唯一能通过胎盘的免疫球蛋白
   A. IgD
   B. IgE
 ->C. IgG
   D. IgA
   E. IgM

1622. 29岁，妇女。经前乳房胀痛及出现肿块，经后自行消退，应考虑
   A. 乳腺癌
   B. 乳腺纤维腺瘤
   C. 浆细胞性乳腺炎
 ->D. 乳腺囊性增生病
   E. 乳管内乳头状瘤

1623. 对心肌损害诊断最具特异性的是
   A. 谷草转氨酶
   B. 谷丙转氨酶
   C. 乳酸脱氢酶
   D. 肌酸肌酶
 ->E. 以上都不是

1624. 以下是采用无创机械通气治疗COPD急性加重并呼吸衰竭的依据，但哪项例外
 ->A. 严重胃肠胀气
   B. 中至重度呼吸衰竭（PaCO<sub>2</sub>45～60 mmHg、pH≥7.30）
   C. 神志清楚
   D. 能有效咳痰
   E. 中至重度呼吸困难

1625. 机械通气对心血管影响正确的是
 ->A. 右心前负荷降低
   B. 右心后负荷降低
   C. 左心前负荷增加
   D. 左心后负荷增加
   E. 心排血量增加

1626. 心输出量↓，中心静脉压↑，外周阻力↑可见于
   A. 高动力型休克
   B. 低血容量性休克
 ->C. 心源性休克
   D. 过敏性休克
   E. 以上均不是
解析：创伤、失血或烧伤休克患者多因容量缺失及机体代偿，出现心输出量减少，早期循环阻力增加。心源性休克则为低排高阻性，感染性休克早期主要表现为高排低阻性休克。

1627. DIC的化验检查哪一项是不正确的
   A. 继发纤溶者D-D二聚体常升高
   B. 血液血小板和纤维蛋白原可正常
   C. 血液纤维蛋白原可暂时增高
   D. 血液血小板和纤维蛋白原常明显减少
 ->E. DIC各期凝血时间都延长

1628. 中枢神经系统感染性疾病通过以下哪种途径
   A. 空气感染
   B. 飞沫感染
 ->C. 血行感染
   D. 接触感染
   E. 饮食感染

1629. 院前急救人员应熟练掌握以下哪项技术
   A. 快速控制伤情，对伤情分类
   B. 止血、包扎
   C. 固定、搬运
   D. 特殊类型伤情的处理
 ->E. 以上都是

1630. 心输出量↓，中心静脉压↓，外周阻力↑可见于
   A. 高动力型休克
 ->B. 低血容量性休克
   C. 心源性休克
   D. 过敏性休克
   E. 以上均不是
解析：创伤、失血或烧伤休克患者多因容量缺失及机体代偿，出现心输出量减少，早期循环阻力增加。心源性休克则为低排高阻性，感染性休克早期主要表现为高排低阻性休克。

1631. 严重出血倾向者行血液滤过时，应采取的抗凝治疗方法是
   A. 全身肝素化
   B. 局部肝素化
   C. 低分子肝素化
   D. 低剂量全身肝素化
 ->E. 无肝素化

1632. 胸外心脏按压时，手掌放置的正确位置
   A. 胸骨左缘第4肋间
   B. 胸骨左缘第3肋间
   C. 左锁骨中线第4肋间
 ->D. 胸骨下1/2交界处
   E. 胸骨中上1/3交界处

1633. 导致创伤性休克的原因，不正确的是
   A. 大血管损伤
   B. 肝脾破裂
   C. 骨盆出血
   D. 股骨干骨折
 ->E. 颅脑挫裂伤

1634. 关于调定点的叙述，错误的是
   A. 位于视前区-下丘脑前部
   B. 温度敏感神经元起着调定点的作用
   C. 规定数值为37℃
 ->D. 发热时调定点不变
   E. 致热原可使调定点上移

1635. 就创伤后早期对代谢的综合影响而言，不正确的是
   A. 脂肪分解增强
 ->B. CRP合成减少
   C. 糖异生增加
   D. 蛋白质分解占优势
   E. 机体能量需求明显增加

1636. 溶血反应的早期典型特征是
   A. 面部潮红，出现荨麻疹
 ->B. 腰背部剧痛，心前压迫感
   C. 不自主肌肉震颤
   D. 黏膜皮肤有出血点和瘀斑
   E. 寒战高热，呼吸困难

1637. 具有感光作用的结构的是
   A. 视盘
   B. 脉络膜
 ->C. 视网膜
   D. 巩膜
   E. 角膜

1638. 对诊断阵发性房室或房室结折返性心动过速最有意义的是
   A. 心律绝对规则
   B. 颈动脉按摩能增加房室传导阻滞
 ->C. 颈动脉按摩能使心率突然减慢
   D. 颈动脉按摩时心率逐渐减慢，停止后心率复原
   E. 心率常>160/分钟以上

1639. 原核细胞型微生物和真核细胞型微生物的不同主要是
   A. 单细胞
 ->B. 原始核、细胞器不完善
   C. 在人工培养基上生长
   D. 有细胞壁
   E. 对抗微生物药物敏感

1640. 引起输血发热反应，最常见的原因是
   A. 细菌污染
 ->B. 致热原
   C. 血型不合
   D. 红细胞破坏
   E. 过敏物质

1641. 胸部损伤后出现胸壁皮下气肿表明患者可能有
   A. 张力性气胸
   B. 气管损伤
   C. 支气管断裂
   D. 肺挫裂伤
 ->E. 以上均可能

1642. 对胸导管不准确的描述是
   A. 起自乳糜池
 ->B. 在注入静脉前收纳右颈干
   C. 穿过膈肌的主动脉裂孔
   D. 收纳人体3/4的淋巴
   E. 注入左静脉角

1643. 关于急性肝功能衰竭发病机制，正确的是
   A. 病因不同，发病机制不同，同一病因不同病程阶段，发病机制亦有主次之分
   B. 发病机制包括原发性损害和继发性损害
   C. 肝细胞急剧坏死同时肝细胞再生能力不足是其发病基础
   D. 肝细胞死亡途径包括细胞凋亡和坏死
 ->E. 以上都是

1644. 水的生理功能有
   A. 水是良好的溶剂
   B. 调节体液
   C. 水是生化反应的场所
   D. 水具有润滑作用
 ->E. 以上均正确

1645. 出现心室纤颤应立即
   A. 静注利多卡因
   B. 静注胺碘酮
   C. 静注肾上腺素
   D. 同步电复律
 ->E. 非同步电复律

1646. 关于全身性感染相关性器官功能衰竭评分（SOFA）认识错误的是
   A. 强调早期动态监测
   B. 包括6个器官，每项0～4分
 ->C. 每日记录最佳值
   D. 目前研究认为最高评分和评分差值对评价病情更有意义
   E. 也被称为序贯器官功能衰竭评分

1647. 最低药物浓度能杀死99.9%原始种入的细菌即为该菌的
   A. MIC
 ->B. MBC
   C. IC
   D. MPC
   E. BC

1648. 原发性肺动脉高压的治疗，下列哪项是错误的
   A. 钙拮抗剂
   B. 华法林为抗凝治疗的首选药
   C. 心肺移植
 ->D. 使用前列环素拮抗剂
   E. 有右心功能不全者可用利尿药

1649. 关于胃肠神经支配的叙述，正确的是
   A. 交感神经节后纤维释放乙酰胆碱
   B. 所有副交感神经节后纤维均以乙酰胆碱为递质
   C. 外来神经对内在神经无调节作用
 ->D. 去除外来神经后，仍能完成局部反射
   E. 内在神经丛存在于黏膜下层和平滑肌之间

1650. 在休克补液治疗选择输液量和输血量的比例时务必使血细胞比容维持在
   A. 25%～30%
   B. 30%～35%
 ->C. 35%～40%
   D. 40%～45%
   E. 45%～55%

1651. 急性重型肝炎主要病理变化为
   A. 肝内淤胆
   B. 肝细胞局灶性坏死
   C. 肝细胞点状坏死
   D. 汇管区纤维组织增生
 ->E. 肝细胞广泛坏死

1652. 胸部冲击伤最严重的并发症
   A. 血胸
   B. 气胸
 ->C. ARDS
   D. 肺水肿
   E. 肺破裂

1653. 自身输液的作用是指
 ->A. 组织液回流多于生成
   B. 动-静脉吻合支开放，回心血量增加
   C. 容量血管收缩，回心血量增加
   D. 抗利尿激素增多，水重吸收增加
   E. 醛固酮增多，钠水重吸收增加

1654. 关于尿钠排泄分数，不正确的是
   A. 滤过钠排泄分数是测定肾小球滤过钠和尿排泄钠的百分率
   B. 是肾小球滤过而未被肾小管重吸收的钠的百分率
   C. 代表肾清除钠的能力，以肾小球滤过率百分比表示
 ->D. 不受利尿药的影响
   E. 可反映肾小管重吸收功能

1655. 以下哪项属于周围免疫器官
   A. 骨髓
   B. 腔上囊
   C. 胸腺
 ->D. 脾
   E. 以上都是

1656. 回归热可见于下列哪种疾病
 ->A. 霍奇金病
   B. 结核病
   C. 布氏杆菌病
   D. 疟疾
   E. 急性肾盂肾炎

1657. 心输出量↓，中心静脉压↓，外周阻力↓可见于
   A. 高动力型休克
   B. 低血容量性休克
   C. 心源性休克
 ->D. 过敏性休克
   E. 以上均不是
解析：创伤、失血或烧伤休克患者多因容量缺失及机体代偿，出现心输出量减少，早期循环阻力增加。心源性休克则为低排高阻性，感染性休克早期主要表现为高排低阻性休克。

1658. 每分钟机体实际的耗氧量
   A. 氧输送
 ->B. 氧消耗
   C. 氧摄取率
   D. 氧饱和度
   E. 血氧含量

1659. 肺栓塞最常见的病因是
   A. 空气栓塞
   B. 脂肪栓塞
 ->C. 血栓栓塞
   D. 羊水栓塞
   E. 瘤栓栓塞

1660. 国际上通用格拉斯哥-匹兹堡脑功能表现计分系统评估脑复苏结局，可划分为5级。其中属于良好神经学结局的是
 ->A. 1、2级
   B. 2、3级
   C. 3、4级
   D. 4、5级
   E. 1、5级

1661. DIC患者在继发性纤溶亢进期
 ->A. 凝血酶时间延长
   B. 3P试验阴性
   C. 优球蛋白时间延长
   D. 血中可溶性纤维蛋白单体复合物含量下降
   E. 血小板数量增加

1662. 选择培养基是
   A. 肉汤培养基
   B. 血平板培养基
 ->C. SS培养基
   D. 蛋白胨水培养基
   E. 普通琼脂培养基

1663. 下列不可能是甲状腺功能亢进危象诱因的是
   A. 注射碘造影剂
   B. 妊娠、分娩
   C. 感染
   D. 甲状腺手术
 ->E. 增加抗甲状腺药物剂量

1664. 引起肾后性肾衰竭的病因是
   A. 急性肾小球肾炎
   B. 汞中毒
   C. 急性间质性肾炎
 ->D. 输尿管结石
   E. 肾结核

1665. 机体急性失血量为全身血量多少时可通过代偿而不出现症状
   A. ＜3%
   B. ＜6%
 ->C. ＜10%
   D. ＜12%
   E. ＜15%

1666. “颞叶发作”又称为
   A. 单纯部分性发作
 ->B. 复杂部分性发作
   C. 肌阵挛发作
   D. 失神发作
   E. 强直发作

1667. 下列不属于Ⅲ 型超敏反应的疾病是
   A. 类风湿关节炎
 ->B. 血小板减少性紫癜
   C. 血清病
   D. 系统性红斑狼疮
   E. 免疫复合物型肾小球肾炎

1668. 病毒的遗传信息从RNA转移到DNA的过程称为
   A. 转导作用
 ->B. 逆转录
   C. 转化作用
   D. 翻译
   E. 重组

1669. 内源性肝性脑病的主要原因是
   A. 急性轻型肝炎
   B. 门脉性肝硬化
   C. 晚期血吸虫病
 ->D. 急性重型肝炎
   E. 慢性胆囊炎

1670. Ⅱ型呼吸衰竭最常见于下列哪一种疾病
   A. 大叶性肺炎
   B. 特发性肺间质纤维化
 ->C. 慢性阻塞性肺病
   D. 急性呼吸窘迫综合征
   E. 浸润性肺结核
解析：大叶性肺炎、特发性肺间质纤维化、慢性阻塞性肺病和浸润性肺结核均可导致呼吸衰竭，但以慢性阻塞性肺病引起Ⅱ型呼吸衰竭较为常见。

1671. 男，32岁，右腰部外伤伴血尿3小时，保守治疗后血尿消失，但血压持续下降达80/45 mmHg，血红蛋白及血细胞比容继续降低，右腰部出现肿块，下一步最重要的是
   A. 予以止血剂
   B. 继续观察
   C. 抗感染
 ->D. 抗休克+手术
   E. 输血

1672. 脊髓是内脏反射活动的初级中枢，但不参与完成的反射是
   A. 发汗反射
 ->B. 肺扩张反射
   C. 排尿反射
   D. 排便反射
   E. 勃起反射

1673. 突然心跳停止的患者，在急救最初的10 min内，碳酸氢钠的给予为
   A. 先给1 mmol/kg，然后1 mmol/kg每10 min给予1次
   B. 先给1 mmol/kg，然后1 mmol/kg每5 min给予1次
   C. 每3～5 min给予1 mmol/kg
 ->D. 每5～10 min给予1 mmol/kg
   E. 不应该给予

1674. 内生肌酐清除率正常值是
   A. 50～90 ml/min
   B. 60～100 ml/min
   C. 70～110 ml/min
 ->D. 80～120 ml/min
   E. 90～130 ml/min

1675. 下面哪项属于淡水溺水的特点
   A. 血浆渗透压增高
 ->B. 血浆渗透压降低
   C. 高镁血症
   D. 高钙血症
   E. 血浆渗透压正常

1676. 不会导致组织水肿的因素是
   A. 毛细血管血压升高
 ->B. 血浆胶体渗透压升高
   C. 静脉回流受阻
   D. 淋巴回流受阻
   E. 组织液胶体渗透压升高

1677. 以下关于营养素的种类及供能，错误的是
   A. 脂肪的热卡密度是9kcal/g
   B. 葡萄糖的热卡密度是4kcal/g
   C. 蛋白质的热卡密度是4kcal/g
 ->D. 6.25 g氮含1 g蛋白质
   E. 重症患者热氮比应降至100～150kcal：1 g氮

1678. 关于最佳PEEP错误的是
   A. 肺换气最好
   B. 对循环影响最小
   C. 肺内分流最小
 ->D. 其数值约15～20 cmH<sub>2</sub>O
   E. 氧合最佳

1679. 热痉挛的主要发病机制是
   A. 体温调节机制紊乱
 ->B. 水盐代谢紊乱
   C. 脑供血不足
   D. 太阳辐射过强
   E. 以上都不是

1680. 急性左心衰竭患者，血压80/60 mmHg，呼吸表浅，神志不清，下列急诊处理中哪一项是错误的
   A. 多巴胺静脉滴注
   B. 尼可刹米静脉滴注
   C. 毛花苷C静脉滴注
 ->D. 吗啡皮下注射
   E. 氧气吸入

1681. 院前急救处理患者时遵循的顺序最为可靠的是
   A. 躯干到四肢
 ->B. 头到脚
   C. 哪里出血先处理哪里
   D. 个人习惯
   E. 从前面到后面

1682. 食物或液体进入声带水平以下的气道而不出现咳嗽或任何外部表现是
   A. 显性误吸
 ->B. 隐性误吸
   C. 吸入性肺炎
   D. 显性肺炎
   E. 呼吸衰竭

1683. 心跳停止后至出现大脑细胞不可逆损害的时间为
   A. 1～2 min
 ->B. 4～6 min
   C. 5～10 min
   D. 2～3 min
   E. 10～15 min
解析：心跳停止后4～6 min大脑细胞出现不可逆损害。

1684. 下述抗原抗体反应中，不属于沉淀反应的是
   A. 单向免疫扩散试验
   B. 双向免疫扩散试验
 ->C. 抗球蛋白反应
   D. 免疫比浊法
   E. 火箭免疫电泳

1685. 胸壁外牵引固定术治疗连枷胸一般需固定
   A. 1～2周
 ->B. 3～4周
   C. 1个月
   D. 3个月
   E. 半年

1686. 在同一血琼脂平板上，金黄色葡萄球菌可促进流感嗜血杆菌的生长，是因为葡萄球菌
   A. 能合成Ⅹ因子
 ->B. 能合成Ⅴ因子
   C. 能合成Ⅹ和Ⅴ因子
   D. 解除了某些抑制因素
   E. 是革兰阳性球菌

1687. 影响抗原抗体反应的因素有
   A. 电解质、pH和反应体积
   B. 抗原抗体的浓度、反应体积和温度
 ->C. 电解质、pH和温度
   D. 温度、pH和反应体积
   E. 温度、反应体积和pH

1688. 无尿指每日尿量为
   A. 0 ml
   B. <50 ml
 ->C. <100 ml
   D. <400 ml
   E. <500 ml

1689. 射频消融的禁忌证
   A. 扩张型心肌病等器质性心脏病引起的心律失常
   B. 甲状腺功能亢进症、乙醇或药物中毒等原因引起的心律失常
   C. 出血性疾病活动期
   D. 脏器功能衰竭
 ->E. 以上都是

1690. 35岁女性，因呕吐、昏迷就诊，就诊时血压120/80 mmHg、脉搏规则，116/min，血糖30 mmol/L、血钠130 mmol/L、血钾3.5 mmol/L、动脉血气结果pH7.2、PCO<sub>2</sub>20 mmHg、14 mmol/L，有关输液治疗下列何种组合最适当
 ->A. 生理盐水、普通胰岛素、KCl
   B. 生理盐水、普通胰岛素、NaHCO<sub>3</sub>
   C. 普通胰岛素、KCl、3%氯化钠液
   D. 普通胰岛素、NaHCO<sub>3</sub>、3%氯化钠液
   E. 生理盐水、普通胰岛素、KCl、NaHCO<sub>3</sub>

1691. 对于肺的血液循环哪项是正确的
   A. 肺循环属于体循环
   B. 肺全部由肺循环供血
 ->C. 肺动脉中血液为静脉血
   D. 肺循环具有高压高阻特点
   E. 肺循环与支气管循环之间无吻合支相互交通

1692. 以下哪项不是院外急救的措施
   A. 心肺复苏
   B. 气管插管
 ->C. 骨折复位
   D. 止痛
   E. 搬运

1693. 关于霍乱弧菌的叙述，下列正确的是
   A. 霍乱弧菌为革兰阴性弧状菌，不形成细菌L型
 ->B. 古典生物型和EL-Tor生物型具有相同的血清学分型
   C. 根据O抗原特性可将霍乱弧菌分为O1群和非O1群，其中非O1群通常不致病
   D. 霍乱为烈性传染病，其毒力强且不能使其减弱
   E. 本菌经口传播，对胃酸抵抗力强

1694. 微需氧菌的培养条件为
   A. 3%氧气，17%二氧化碳，80%氮气
 ->B. 5%氧气，10%二氧化碳，85%氮气
   C. 10%氧气，15%二氧化碳，75%氨气
   D. 15%氧气，5%二氧化碳，80%氮气
   E. 10%氧气，10%二氧化碳，80%氮气

1695. 腹腔干的直接分支是
 ->A. 胃左动脉
   B. 胃右动脉
   C. 胃网膜左动脉
   D. 胃网膜右动脉
   E. 胃短动脉

1696. 不属于深部或中心体温测量方法的是
   A. 口腔测温
   B. 中心静脉测温
   C. 直肠测温
 ->D. 腋窝测温
   E. 鼻咽测温

1697. 关于严重感染性治疗过程中使用糖皮质激素错误的是
 ->A. 早期须常规应用糖皮质激素
   B. 对于经足够的液体复苏仍需升压药来维持血压的感染性休克患者，可静脉使用糖皮质激素，持续7d
   C. 每日氢化可的松剂量不高于300 mg
   D. 无休克的全身性感染患者，不推荐应用糖皮质激素
   E. 对于长期服用激素或有内分泌疾病者，可继续应用维持量或给予冲击量

1698. 急性肺水肿患者吸氧时，湿化瓶中加入75%的乙醇的目的是
 ->A. 使泡沫表面张力降低
   B. 兴奋呼吸
   C. 增强细胞内呼吸
   D. 扩张肺毛细血管
   E. 解除支气管平滑肌痉挛

1699. 心脏电复律与电除颤的并发症不包括
   A. 诱发各种心律失常
   B. 急性肺水肿
 ->C. 高血压
   D. 体循环栓塞
   E. 肺动脉栓塞

1700. 医德关系的主要协调对象是
   A. 医医关系
   B. 医社关系
 ->C. 医患关系
   D. 医护关系
   E. 领导与被领导关系

1701. 严重心律失常可引起
   A. 感染性休克
 ->B. 心源性休克
   C. 低血容量性休克
   D. 过敏性休克
   E. 神经源性休克
解析：根据致病因素即可选择。

1702. 关于血气分析操作过程和方法错误的是
   A. 可选择双侧股动脉、桡动脉、足背动脉、肱动脉为穿刺点
   B. 以穿刺点为中心的直径3 cm进行消毒
   C. 可采用肝素抗凝的注射器
   D. 穿刺成功时可见颜色鲜红的动脉血顶入注射器
 ->E. 采血后需将注射器在两手掌之间转动，混匀抗凝血并静置30分钟后送检

1703. 起搏器治疗的术后并发症不包括
   A. 囊袋血肿
   B. 阈值升高
   C. 感染
   D. 起搏器综合征
 ->E. 锁骨下动静脉瘘

1704. 简明急性生理学评分系统中慢性疾病描述不正确的是
   A. 获得性免疫缺陷综合征
   B. 血液系统恶性肿瘤
   C. 转移癌
 ->D. 系统性红斑狼疮
   E. 白血病

1705. 在气管插管前的急救所给予的人工呼吸每分钟应给予几次
   A. 8～10次
 ->B. 10～12次
   C. 12～15次
   D. 16～20次
   E. 20～28次

1706. 以下关于Sepsis早期液体复苏治疗的目标描述，错误的是
   A. 应在6小时内达标
   B. 中心静脉压（CVP）8～12 mmHg
 ->C. 平均动脉压≥60 mmHg
   D. 尿量≥0.5 ml/（kg·小时）
   E. 中心静脉血氧饱和度（ScvO<sup>2</sup>）≥70%

1707. 治疗流行性细菌性脑膜炎的最合适联合用药是
   A. 青霉素+链霉素
 ->B. 青霉素+磺胺嘧啶
   C. 青霉素+诺氟沙星
   D. 青霉素+克林霉素
   E. 青霉素+四环素

1708. 十二指肠大乳头位于
   A. 二指肠上部
 ->B. 十二指肠降部
   C. 十二指肠水平部
   D. 十二指肠升部
   E. 十二指肠全部

1709. 能通过胎盘传播引起胎儿先天性疾病的螺旋体是
   A. 奋森螺旋体
   B. 回归热螺旋体
 ->C. 梅毒螺旋体
   D. 雅司螺旋体
   E. 钩端螺旋体

1710. AOPP治疗中，氯解磷定的主要作用是
 ->A. 恢复胆碱酯酶（ChE）活性，解除烟碱样毒作用
   B. 阻断乙酰胆碱的作用，解除毒蕈碱样症状
   C. 与有机磷结合直接排出
   D. 将有机磷氧化还原成无毒物质
   E. 直接增加ChE活力

1711. 新生霉素敏感试验适用于鉴定
   A. 大肠埃希菌
 ->B. 腐生葡萄球菌
   C. 产单核细胞李斯特菌
   D. 臭鼻克雷伯菌
   E. 变形杆菌

1712. 参与SIRS发生、发展的细胞因子或炎症介质中，属于促炎症细胞因子的是
   A. 血小板活化因子
   B. 白介素-4、白介素-10
 ->C. 白介素-1、肿痛坏死因子
   D. 活化的补体
   E. 花生四烯酸

1713. 不是抗菌药物联合用药的目的的是
   A. 提高疗效
   B. 扩大抗菌范围
   C. 减少耐药性的发生
 ->D. 延长作用时间
   E. 降低毒性

1714. 体重是营养状态评估的重要指标，目前常用实际体重/既往体重来反映患者的营养状态，属于重度营养不良的是
   A. <90%
   B. <80%
   C. <70%
 ->D. <60%
   E. <50%

1715. 不位于肾窦内的结构
   A. 肾盂
   B. 血管和脂肪
   C. 肾小盏
   D. 肾大盏
 ->E. 肾锥体

1716. 多发脑外伤患者入室后查体，压眶刺激后患者无睁眼反应，出现四肢屈曲，大声呼唤患者姓名无应答，牙关紧闭，此时的GCS计分是多少
   A. 1
   B. 2
   C. 3
   D. 4
 ->E. 5
解析：<img src="https://exam.mvwchina.com/upload/2016/12/1920dx03jx.jpg "/>

1717. 经CT导引下腹腔穿刺术适应证不包括
   A. 腹腔脓肿定性诊断和引流
   B. 腹腔囊肿、假性囊肿定性诊断和引流
   C. 腹腔或后腹膜坏死感染的诊断
 ->D. 肾上腺嗜铬细胞瘤
   E. 胰腺、肝、肾盆腔肿瘤

1718. 以下有关重症肺炎诊断错误的是
   A. 意识障碍
 ->B. PaO<sub>2</sub>>60 mmHg
   C. 尿量<20 ml/小时
   D. 呼吸频率≥30/分钟
   E. X线胸片显示双侧或多肺叶受累

1719. 有关骨盆不正确的叙述是
   A. 由左、右髋骨、骶骨、尾骨借骨联结构成
   B. 可分为大骨盆和小骨盆
 ->C. 小骨盆上口围成骨盆腔
   D. 有支持体重、保护脏器的功能
   E. 在女性还是胎儿娩出的通道

1720. 单纯疱疹病毒引起中枢神经系统感染的途径是
   A. 血行感染
   B. 直接感染
 ->C. 逆行感染
   D. 空气感染
   E. 以上都不是

1721. 下列关于药动学的论述哪一项不正确
   A. 研究药物在机体作用下的变化及规律
   B. 研究药物在体内的吸收、分布、代谢和排泄过程
   C. 研究药物血药浓度随时间变化的规律
   D. 研究影响药物浓度变化的因素
 ->E. 研究药物的作用机制

1722. 70岁男性，因慢性房颤合并肺部感染就诊，平时服用地高辛0.125 mg/d。查体：血压104/58 mmHg，脉搏144/min，体温39.2℃。心电图显示房颤，但无明显ST变化。针对其目前房颤合并心动过速，以下叙述，何者最正确
   A. 应立即安排做经食管心脏超声
   B. 应先考虑给予静脉注射地尔硫䓬
   C. 先给予静脉注射胺碘酮是有效而必要的选择
   D. 应先考虑立即同步电复律
 ->E. 目前不考虑针对其心动过速予抗心律失常药物治疗

1723. 以下哪项不是误吸的病因
   A. 意识改变
   B. 吞咽异常
   C. 胃反射抑制
   D. 胃肠道排空延迟
 ->E. 胃肠道动力增加

1724. 关于Ramsay镇静评分级别评分系级别包括
   A. 4分
   B. 5分
 ->C. 6分
   D. 7分
   E. 8分

1725. 脑出血最常见的部位是
   A. 大脑皮质
 ->B. 内囊
   C. 脑桥
   D. 小脑
   E. 延髓

1726. 下列不属于预防或保护性临时起搏的是
   A. 冠状动脉造影及介入性导管治疗
   B. 心律不稳定患者在安置永久性心脏起搏器或更换起搏器时
 ->C. 急性心肌梗死引起的房室传导阻滞、严重窦性心动过缓
   D. 心动过缓或无心动过缓但心电图有双束支阻滞，须接受全麻及手术者
   E. 不完全性三分支阻滞，须接受全麻及手术者

1727. 不易发生DIC而致产后出血的是
   A. 妊娠合并重症肝炎
   B. 重度妊娠期高血压综合征
 ->C. 过期妊娠
   D. 过期流产
   E. 胎盘早剥

1728. 人类反射包括
   A. 非条件反射、条件反射和第一信号系统
   B. 非条件反射、条件反射和第二信号系统
 ->C. 非条件反射、第一信号系统和第二信号系统
   D. 条件反射、第一信号系统和第二信号系统
   E. 条件反射和第二信号系统

1729. 解除呼吸道梗阻的方法
   A. 口咽通气道
   B. 提颏
   C. 气管内插管
   D. 上抬下颌
 ->E. 以上全是

1730. 休克早期最易受损的器官是
   A. 心
   B. 肺
   C. 肝
   D. 脾
 ->E. 胰腺

1731. 不属于右心室的结构是
   A. 动脉圆锥
 ->B. 主动脉口
   C. 肺动脉口
   D. 三尖瓣
   E. 隔缘肌柱

1732. 一般认为在口服剂型中药物吸收的大致顺序为
 ->A. 水溶液>混悬液>散剂>胶囊剂>片剂
   B. 水溶液>混悬液>胶囊剂>散剂>片剂
   C. 水溶液>散剂>混悬液>胶囊剂>片剂
   D. 混悬液>水溶液>散剂>胶囊剂>片剂
   E. 水溶液>混悬液>片剂>散剂>胶囊剂

1733. 对危重症患者进行胃液pH监测，下述操作描述错误的是
   A. 应禁食1～2小时
   B. 取样前夹闭胃管30分钟
   C. pH仪电极应置于食管下括约肌下方5～8 cm处
 ->D. 可通过呕吐物测胃液pH
   E. 胃液前1 ml应弃用

1734. 体液免疫的效应包括
   A. 中和作用
   B. 调理作用
   C. 补体介导的细胞溶解作用
   D. ADCC作用
 ->E. 以上均是

1735. 下列症状中，不属于COPD急性加重表现的是
   A. 气促加重
   B. 痰量增加
   C. 痰变脓性
 ->D. 晕厥
   E. 发热

1736. 适合厌氧菌检验的标本是
   A. 鼻咽拭子
   B. 肛拭
   C. 中段尿
   D. 前列腺
 ->E. 深部脓肿穿刺液

1737. 不通过膈肌的结构有
 ->A. 上腔静脉
   B. 下腔静脉
   C. 主动脉
   D. 迷走神经
   E. 食管

1738. 抗Sm抗体是以下哪种疾病的特异性标志抗体
   A. 干燥综合征
   B. 类风湿关节炎
 ->C. 系统性红斑狼疮
   D. 混合性结缔组织病
   E. 强直性脊柱炎

1739. 颈椎骨折伤员必须加以颈托固定，原因是
   A. 防止骨折断端刺破皮肤
   B. 防止产生新发骨折
 ->C. 以防发生高位截瘫
   D. 便于搬运
   E. 减轻伤员疼痛

1740. 气性坏疽早期诊断依据是
 ->A. 外伤史和临床所见
   B. 渗出物涂片染色找到革兰阳性杆菌
   C. 伤部培养出厌氧性梭状芽孢杆菌
   D. 血培养出革兰阳性杆菌
