1. 肾细胞癌的典型声像图特征是
解析：睾丸扭转声像图：早期病人睾丸回声轻度肿大，继之睾丸回声明显肿大，呈中等回声或强回声。睾丸周围出现少量液性区，彩色血流图示睾丸血流减少或消失。

206. 超声诊断成熟卵泡的标准是
 ->A. 卵泡表面无卵巢组织覆盖
 ->B. 卵泡长径≥20 mm
 ->C. 卵泡张力高，壁薄而光滑
   D. 子宫直肠陷窝少量积液
   E. 以上都不是

207. 下列哪些是先天性髋关节完全脱位的声像图特点
 ->A. 股骨头从髋臼内全部脱出
 ->B. 股骨头向后上方软组织内移位
   C. 股骨头与髋臼间出现较宽间隙
   D. 髋臼窝变形
   E. 以上各项都是

208. 患者男性，54岁，有高血压病史，突发前胸部、后背部剧烈疼痛，持续时间长，不能缓解。磁共振诊断为升主动脉夹层动脉瘤形成，其超声图像特点应包括
   A. 真腔内常可见血栓回声
 ->B. 假腔内血流缓慢，颜色暗淡
 ->C. 升主动脉内见内膜回声
 ->D. 主动脉夹层破裂口处见多色花彩血流束，由真腔进入假腔，为双期往返状，从而可确定破口位置
 ->E. 假腔内常可见血栓回声

209. 以下哪些是成骨肉瘤的超声特征
 ->A. 正常骨组织回声消失，肿瘤处骨皮质粗糙，回声连续中断，骨膜被掀起并增厚，与骨皮质分离
 ->B. 瘤体内回声极不均匀，增强－低－无回声，骨皮质表面有小的针状瘤骨呈放射状排列
   C. 骨瘤处圆形隆起与骨组织带状回声有连续性，后伴声影
 ->D. CDFI:瘤骨边缘及内部可探及较粗大的异常回声
 ->E. 肿瘤的后部回声衰减较强，肿瘤的底面回声不易显示

210. 李某，女33岁，孕42<sup>+</sup>周，其超声声像图表现，正确的是
 ->A. 胎盘老化
   B. 胎儿皮下脂肪增厚
 ->C. 易发生胎儿窘迫
   D. 羊水量增多
   E. 胎儿测值常大于同孕龄胎儿

211. 良性叶状囊性肉瘤的声像图特点是
 ->A. 肿瘤边界清楚、完整、光滑
 ->B. 内部呈细点状回声，分布均匀，或为无回声区
   C. 后方回声衰减
 ->D. 肿瘤巨大时，可呈囊状或分叶状
 ->E. 后方回声增强

212. 甲状腺腺瘤的超声特点
   A. 肿瘤多发，圆形，边界欠清，有包膜
 ->B. 肿瘤单发、圆形，边界清，有包膜，周边有晕环
   C. 肿瘤呈不均匀中等以上回声，后方有声衰减
 ->D. 肿瘤呈均匀低或中等回声，后方有侧影，无声衰减
 ->E. CDFI：肿瘤周边有血管绕行，患者甲状腺上动脉Vmax增高

213. 超声生物效应的物理机制包括
 ->A. 机械机制
 ->B. 热机制
   C. 辐射机制
 ->D. 空化机制
   E. 电流机制

214. 枯萎妊娠囊声像图表现是
 ->A. 宫腔内形态不规则胎囊
 ->B. 胎囊内无胎芽、无胎心
 ->C. 胎囊内可见小胎块
 ->D. 随访观察胎囊可增大，可出现胎盘回声
   E. 以上都不

215. 左心室长轴切面能清楚显示的解剖结构包括
 ->A. 降主动脉
   B. 左心耳
   C. 主动脉瓣左冠瓣
 ->D. 右心室
 ->E. 室间隔

216. 甲状腺肿大常见于下列哪些疾病及声像图特征
 ->A. 单纯性甲状腺肿大，轻度肿大，内回声均匀
 ->B. 地方性甲状腺肿，不同程度肿大，早期内回声均质，晚期呈大小不等无回声
 ->C. 毒性甲状腺肿，普遍性增大低回声，CDFI呈火海征，高速低阻，Vmax70～100 cm/s
 ->D. 结节性甲状腺肿大，不对称不均匀增大，内有多个结节，无包膜，有液化呈无回声，CDFI：内有丰富的血流信号
   E. 结节性甲状腺肿大，对称性均匀增大，很少液化，CDFI未见血流信号.

217. 下列对艾布斯坦畸形的超声描述正确的是
 ->A. 右心房显著增大
 ->B. 三尖瓣叶下移距离＞15 mm
   C. 肺动脉增宽并肺动脉高压
 ->D. 三尖瓣重度关闭不全
   E. 房间隔中段可见回声失落

218. 肝实质回声增强可能由于
 ->A. 酒精中毒
 ->B. 糖尿病
 ->C. 化学治疗
 ->D. 细胞毒药物
 ->E. 高脂血症

219. 下列哪些疾病属于乳腺无回声肿块
 ->A. 积乳囊肿
 ->B. 乳腺脓肿
 ->C. 乳腺寒性脓肿
 ->D. 乳腺囊性增生症
   E. 乳腺腺瘤

220. 甲状腺恶性肿瘤的超声特点为
 ->A. 肿瘤边界不规整呈蟹足样改变，分化程度高的癌瘤边缘整齐，有晕环
   B. 肿瘤边界不规整呈蟹足样改变，分化程度低的癌瘤边缘整齐，有晕环
 ->C. 肿块呈低回声伴砂粒体钙化，大小1～2 mm，后方有衰减或无变化
   D. 肿块呈低回声伴钙化斑，后伴声影
   E. CDFI：血供不丰富，肿块内少许星点状血流信号

221. 下列哪些情况可引起胎盘增厚增大
   A. 妊娠高血压综合征
   B. 高血压
 ->C. 糖尿病
 ->D. 血型不合
 ->E. 胎盘早剥

222. 下列哪些是恶性淋巴瘤的超声表现
 ->A. 髓质结构紊乱甚至消失或变形移位
 ->B. L/S小于2
   C. 髓质回声明显增宽，皮质均匀增厚
 ->D. 血流充满淋巴结，失去正常血管分布与走向的规律，呈不规则树枝状
   E. 门部居中

223. 骨骼肌正常声像图表现包括
 ->A. 肌腱断端向中心端回缩，肌腱回声中断或不显示
   B. 三角肌下滑囊与肱骨头间距变小，断端间可有低或无回声区
 ->C. 肌腱回声不均匀，变薄，不连续
 ->D. 肌腱回声增强，边缘不清，断端有低或强回声伴声影
   E. 有血肿形成时，局部呈现低回声

224. 下列关于重复肾的特点正确的有
 ->A. 有两个肾盂
 ->B. 输尿管可呈“Y”型
 ->C. 输尿管可全部重复
 ->D. 男性输尿管可开口于精囊、射精管
 ->E. 女性输尿管可开口于尿道、阴道、子宫颈

225. 多发性大动脉炎的超声声像图表现包括
 ->A. 受累动脉管壁正常结构消失，外膜与周围组织分界不清
 ->B. 管壁呈局限性或普遍性增厚，为低回声或中强回声
 ->C. 管腔内可继发血栓，血栓的回声常常较管壁回声低
 ->D. 病变处动脉壁一般无钙化斑块，但病程较长者可合并钙化斑块
 ->E. 受累动脉主要以狭窄或闭塞为主，偶可并发动脉扩张或动脉瘤

226. 哪种疾病可完全由超声检查发现
 ->A. 肝肿瘤
 ->B. 肝脓肿
 ->C. 胆管梗阻
 ->D. 肝转移
 ->E. 肝硬化

227. 子宫大于孕月见于
 ->A. 多胎
 ->B. 子宫肌瘤
 ->C. 羊水过多
 ->D. 月经日期不准确
 ->E. 葡萄胎

228. 超声对骨折诊断的价值有
 ->A. 可从多方位探测，对骨折移位即对位情况判定较快速，可及时指导骨折的手法复位
 ->B. 鉴别骨折所致的局部肿胀是血肿还是软组织水肿所引起
 ->C. 辅助诊断外伤性骨筋膜室综合征
 ->D. 复杂外伤骨折时，可帮助判定有无实质性内脏损伤
 ->E. 监测骨折愈合，结合CDFI帮助评估和预测骨折延迟愈合和骨不连的原因

229. 乳腺癌超声有特征性改变的有哪几种
 ->A. 乳头状导管癌
 ->B. 髓样癌
 ->C. 硬癌
   D. 腺癌
   E. 弥漫型癌

230. 下列超声表现中属于膝关节类风湿性关节炎的是
 ->A. 关节以滑膜增生为主，滑膜边缘回声不清
 ->B. 关节软骨表面凹凸不平
 ->C. 可在骨隆起处出现类风湿结节
 ->D. 关节游离体形成
 ->E. 出现腘窝囊肿

231. 下列哪些是多囊卵巢综合征的特点
 ->A. 月经稀少，不孕
   B. 子宫增大
 ->C. 多毛、肥胖
 ->D. 卵巢可见＞10个无回声区，直径＜1.0 cm
   E. 有痛经

232. 下列关于血栓闭塞性脉管炎叙述正确的是
 ->A. 20～40岁青壮年男性多见，病程较长
 ->B. 主要侵犯中、小型动脉及其伴行的静脉（下肢多见）
 ->C. 二维超声显示病变处动脉内膜增厚、毛糙，正常部分与病变部分界限分明
 ->D. 伴行的静脉内膜可增厚或合并血栓
 ->E. 彩色多普勒显示动脉可存在闭塞或节段性狭窄

233. 超声对骨折诊断的价值有
 ->A. 可从多方位探测，对骨折移位即对位情况判定较快速，可及时指导骨折的手法复位
 ->B. 鉴别骨折所致的局部肿胀是血肿还是软组织水肿所引起
 ->C. 辅助诊断外伤性骨筋膜室综合征
 ->D. 复杂外伤骨折时，可帮助判定有无实质性内脏损伤
 ->E. 监测骨折愈合，结合CDFI帮助评估和预测骨折延迟愈合和骨不连的原因

234. 肺动脉闭锁的常见超声表现为
 ->A. 肺动脉总干近端与右心室流出道有一短距离的分离，分离处为一薄的固定回声
 ->B. 肺动脉与右心室流出道之间逐渐变细，形成圆锥形图像
 ->C. 圆锥形图像延续一段距离后，始为肺动脉主干，其内径逐渐加宽，直至肺动脉分叉处
 ->D. 可见室间隔缺损，右心室腔缩小，左心室及右心房增大，右心房至左心房分流
 ->E. 可合并法洛四联症声像图表现

235. 有关超声波的物理特性以下正确的是
   A. 频率越高，穿透性越强
 ->B. 频率越高，穿透性越弱
 ->C. 声阻抗越大，反射越多
   D. 声阻抗越大，反射越少
 ->E. 超声波在介质中呈直线传播，具有良好的指向性

236. 患者，女性60岁，绝经10年，阴道不规则流血1月，超声诊断绒毛膜癌，其超声声像图表现
 ->A. 子宫增大，其外形可不规则
 ->B. 子宫内回声增多，子宫肌层内有局部低回声区，呈蜂窝状
   C. 多能发现一侧或双侧黄体囊肿
 ->D. 彩色多普勒超声检查病灶处可见丰富血流，频谱呈低阻波形
 ->E. 早期就可以发生远处转移，最常见转移部位是肺

237. 乳腺纤维腺瘤的超声特点包括
 ->A. 边界光滑、完整，有一层光滑的包膜
 ->B. 内部呈减弱回声
 ->C. 肿瘤呈圆形、椭圆形；也有呈分叶形或不规则形
 ->D. CDFI：多数为无血流或少血流型
 ->E. 少数有钙化

238. 下列哪些是胎盘早剥声像图表现
 ->A. 胎盘与子宫壁间形成血肿
 ->B. 胎盘增厚
   C. 胎盘过早成熟
 ->D. 胎盘的胎儿面向羊膜腔膨出
 ->E. 羊水增多

239. 患者，男80岁，右侧股静脉完全栓塞的表现，正确的是
 ->A. 股静脉内未见血流信号
 ->B. 探头加压后股静脉管腔不可压闭
 ->C. 股静脉内可见低回声改变
 ->D. 栓塞远端血管内流速减慢
 ->E. 栓塞处血管内径增粗

240. 下列哪项是卵巢非赘生性囊肿
 ->A. 滤泡囊肿
   B. 皮样囊肿
 ->C. 黄体囊肿
 ->D. 黄素囊肿
 ->E. 多囊卵巢

241. 下列急性阑尾炎的超声表现叙述正确的是
 ->A. 阑尾肿胀，体积增大是超声显像的基础
 ->B. 表现为一低回声的管状结构，阑尾的短轴断面呈卵圆形或不规则形状
 ->C. 阑尾管壁增厚，黏膜因炎症回声增强，呈现为管壁和腔内积液之间的一条线状强回声
 ->D. 彩色多普勒超声显示阑尾旁血流信号增多
   E. 阑尾肿大如团块状，壁间回声均匀，是阑尾炎症程度加重、坏疽或脓肿的表现

242. 急性阑尾炎的超声特点是
   A. 阑尾的内径多小于0、4 cm
 ->B. 增粗的阑尾呈带状低回声
 ->C. 异常阑尾周围的局限性积液
 ->D. 扩张的阑尾腔内显示积液
   E. 发炎的阑尾壁多无异常改变

243. 隐睾有哪些危害
 ->A. 造成不育
 ->B. 隐睾恶变
 ->C. 睾丸扭转
 ->D. 造成心理不良影响
   E. 造成两性畸形

244. 超声测量双顶径影响准确性的因素有
 ->A. 选择测量平面不标准
 ->B. 胎头方位
 ->C. 胎头头型
   D. 羊水过少
   E. 以上都不是

245. 脾肿大的常见原因有
 ->A. 传染性疾病
 ->B. 门脉高压
 ->C. 血液病
 ->D. 某些代谢性疾病
 ->E. 先天性发育异常

246. 二维超声检测左心室用以判断有无冠心病的主要依据是什么
   A. 左心室形状改变
   B. 左心室壁厚径增加
 ->C. 节段性室壁运动异常
 ->D. 左心室壁收缩期增厚率减低
   E. 左心室壁收缩运动幅度增大

247. 超声可鉴别视网膜脱离与玻璃体机化膜，其各自声像图特点是
   A. 视网膜脱离：玻璃体暗区内有膜状、树枝、条索状强回声、膜不与球壁环相连、与视神经无关系、膜活动度小、膜内无彩色血流信号、膜内无动脉频谱
 ->B. 视网膜脱离：玻璃体暗区内凹面指向眼前的弧形膜状强回声、膜与球壁环密切相连、与视神经有密切关系、膜活动度大、膜内有彩色血流信号、膜内有低速低阻动脉频谱
 ->C. 玻璃体机化膜：玻璃体暗区内有膜状、树枝、条索状强回声、膜不与球壁环相连、与视神经无关系、膜活动度小、膜内无彩色血流信号、膜内无动脉频谱
   D. 玻璃体机化膜：玻璃体暗区内凹面指向眼前的弧形膜状强回声、膜与球壁环密切相连、与视神经有密切关系、膜活动度大、膜内有彩色血流信号、膜内有低速低阻动脉频谱
   E. 视网膜脱离：玻璃体暗区内有膜状、树枝、条索状强回声、膜不与球壁环相连、与视神经无关系、膜活动度小、膜内无彩色血流信号

248. 肠梗阻的超声表现包括
 ->A. 肠管扩张，腔内积液、积气
 ->B. 肠壁黏膜皱襞水肿、增厚
 ->C. 机械性肠梗阻肠壁蠕动增强，幅度增大，频率加快
 ->D. 麻痹性肠梗阻时肠管扩张，肠蠕动弱或消失
 ->E. 绞窄性小肠梗阻时肠蠕动减缓甚至消失，腹腔内出现游离液体回声

249. 下列先天性肝纤维化的超声声像图描述中，哪些是正确的
 ->A. 肝脏弥漫性增大，表面平滑，界限清晰
 ->B. 肝实质回声增强，呈均匀弥漫的分布
 ->C. 可有肝外门静脉及脾静脉的增粗
 ->D. 可合并脾脏弥漫性增大
 ->E. 可有肾脏双侧均增大，肾结构失常。肾实质回声致密增强，与肾窦回声区别不明显

250. 正常淋巴结的结构
 ->A. 淋巴结表面有一层被膜
 ->B. 淋巴结包括皮质和髓质，皮质的淋巴窦致密，髓质的淋巴窦疏松
   C. 淋巴结包括皮质和髓质，皮质的淋巴窦疏松，髓质的淋巴窦致密
 ->D. 淋巴液由皮质淋巴结→淋巴输入管→结内→淋巴窦→淋巴输出管→淋巴门
   E. 淋巴液由淋巴门→淋巴输入管→淋巴窦→结内→淋巴输出管→皮质淋巴结

251. 颈动脉硬化闭塞的CDFI表现
   A. 动脉轻度狭窄无改变
 ->B. 动脉轻度狭窄无明显涡流
   C. 动脉中度狭窄时血流变细，狭窄处呈杂色血流信号
 ->D. 动脉中度或重度狭窄时血流变细狭窄处形成涡流，呈杂色血流信号
 ->E. 动脉管腔完全闭塞血流信号中断，闭塞上段血流速度减低，产生血逆流或涡流

252. 肺动脉闭锁的常见超声表现为
 ->A. 肺动脉总干近端与右心室流出道有一短距离的分离，分离处为一薄的固定回声
 ->B. 肺动脉与右心室流出道之间逐渐变细，形成圆锥形图像
 ->C. 圆锥形图像延续一段距离后，始为肺动脉主干，其内径逐渐加宽，直至肺动脉分叉处
 ->D. 可见室间隔缺损，右心室腔缩小，左心室及右心房增大，右心房至左心房分流
 ->E. 可合并法洛四联症声像图表现

253. 下列说法正确的有
 ->A. 皮质醇增多症又称库欣综合征
 ->B. 皮质醇增多症最常见的原因是肾上腺皮质增生
 ->C. 皮质醇增多症的原因之一是肾上腺皮质腺瘤
 ->D. 原发性醛固醇增多症的主要病因为肾上腺皮脂腺瘤
 ->E. CDFI：皮质醇增多症时肾上腺血流显示极少

254. 下列哪些是神经纤维瘤的超声表现
 ->A. 轮廓清晰，边缘光滑，界限整齐
 ->B. 低回声团块
 ->C. 位于颈部大血管旁
   D. 位于颈动脉分支处的外鞘，瘤体内血流信号丰富
 ->E. 位于颈部中上部，瘤体内部回声不均匀，少量血流信号

255. 中期妊娠羊膜穿刺适应证是
 ->A. 有畸胎史者
 ->B. 高龄孕妇
 ->C. 不明原因流产、早产史者
 ->D. 夫妇中有染色体异常疾病及家族史
 ->E. 本次妊娠有异常者

256. 下列哪些是淋巴结结核的超声表现
 ->A. 多数淋巴结皮质不均匀增宽
   B. 淋巴结体积增大，L/S大于2
 ->C. 髓质强回声消失或变形、移位。L/S小于2
   D. 髓质回声明显增宽，皮质均匀增厚
   E. 血流丰富，血流信号可充满整个淋巴结，呈不规则树枝状

257. 出现在肝内线状增强回声是下列哪项引起的
 ->A. 血管壁
   B. 肝窦状隙
 ->C. 纤维隔
   D. 肝硬化
 ->E. 肝内胆管壁

258. 下列哪些是淋巴结结核的超声表现
 ->A. 多数淋巴结皮质不均匀增宽
   B. 淋巴结体积增大，L/S大于2
 ->C. 髓质强回声消失或变形、移位。L/S小于2
   D. 髓质回声明显增宽，皮质均匀增厚
   E. 血流丰富，血流信号可充满整个淋巴结，呈不规则树枝状

259. 脂肪肝的超声表现
   A. 肝内脂肪含量>5%
 ->B. 肝轻、中度增大，边缘钝
 ->C. 肝回声增强、密集、后方回声衰减
 ->D. 肝血管纹理显示不清
   E. 肝内出现无回声暗区

260. 进展期胃癌的超声分类有以下哪几型
 ->A. 溃疡型
   B. 弹坑型
   C. 靶环型
 ->D. 肿块型
 ->E. 弥漫浸润型

261. 肝内有三条韧带对超声检查很重要，他们是圆韧带、静脉韧带和镰状韧带。圆韧带是
 ->A. 存在左叶间裂
 ->B. 脐静脉的残留
 ->C. 在严重的肝硬化时可见再通
 ->D. 在横切面上是一个回声增强光点
 ->E. 常在门静脉之上

262. 易造成漏诊的胆囊结石
 ->A. 在胆囊底部
 ->B. 哈氏囊内
 ->C. 泥沙样
 ->D. 囊壁内
 ->E. 充满型

263. 下列疾病中，阴道内可见到无回声的有
 ->A. 阴道闭锁
   B. 阴道纵隔
 ->C. 阴道内积尿
 ->D. 阴道积血
   E. 双阴道

264. 属于原发性心肌病的是
 ->A. 扩张型心肌病
 ->B. 肥厚型心肌病
 ->C. 限制型心肌病
   D. 先天性心脏病
   E. 高血压性心脏病

265. 下列对三尖瓣血流正常多普勒频谱的叙述哪些是正确的
 ->A. E峰大于A峰
 ->B. 正常频谱
 ->C. 舒张早期、舒张末期分别有一脉冲波
 ->D. 在舒张期出现
   E. A峰大于E峰

266. 下列哪些情况可引起胎盘增厚增大
   A. 妊娠高血压综合征
   B. 高血压
 ->C. 糖尿病
 ->D. 血型不合
 ->E. 胎盘早剥

267. 下列哪项（些）不属于非生殖细胞性睾丸肿瘤
   A. 纤维瘤
   B. 血管瘤
 ->C. 精原细胞瘤
 ->D. 绒毛膜上皮癌
 ->E. 卵黄囊瘤

268. 结节性甲状腺肿的声像图特征
 ->A. 左右甲状腺不对称增大，有多发结节，无包膜
   B. 左右甲状腺不对称增大，有单发结节，有包膜
 ->C. 甲状腺内结节边界模糊，不规整，结节周围无正常甲状腺组织
   D. 甲状腺内结节边界清晰，形态规整，结节周围正常甲状腺组织界限清楚
 ->E. CDFI呈多彩状，可见血管绕行征、彩球征

269. 肝糖原累积症是一种遗传代谢障碍的疾病，下列肝糖原累积症的超声声像图描述中，哪些是正确的
 ->A. 肝脏均匀弥漫性增大，表面平滑，界限清晰
 ->B. 肝实质回声致密，明显增强，后方可出现明显的声衰减
 ->C. 肝内实质可无异常回声团块，肝内管状结构欠清晰
 ->D. 可合并双肾增大，形态规则，肾内结构正常
   E. 可有肾脏双侧均增大，肾实质回声致密增强，与肾窦回声区别不明显

270. 胆囊窝区的声影可能误诊为胆石症，这些声影的原因是
 ->A. 胆囊颈部螺旋瓣
 ->B. 肝内钙化灶
 ->C. 肠道内气体
 ->D. 萎缩的胆囊
   E. 以上各项均不是

271. 受内分泌影响，女性乳腺不同年龄段声像图表现各异，可分哪几个时期
 ->A. 青春期
 ->B. 性成熟期
 ->C. 妊娠期
 ->D. 哺乳期
 ->E. 老年萎缩期

272. 甲状腺恶性肿瘤的超声特点为
 ->A. 肿瘤边界不规整呈蟹足样改变，分化程度高的癌瘤边缘整齐，有晕环
   B. 肿瘤边界不规整呈蟹足样改变，分化程度低的癌瘤边缘整齐，有晕环
 ->C. 肿块呈低回声伴砂粒体钙化，大小1～2 mm，后方有衰减或无变化
   D. 肿块呈低回声伴钙化斑，后伴声影
   E. CDFI：血供不丰富，肿块内少许星点状血流信号

273. 胎盘早剥是指妊娠20周后或分娩期正常位置胎盘在胎儿娩出前部分或全部从子宫壁剥离，其病理变化是
 ->A. 底蜕膜血管破裂出血
 ->B. 底蜕膜层血肿形成
   C. 胎盘绒毛膜出血
   D. 胎盘附着部子宫收缩
   E. 以上都是

274. 乳腺超声诊断的新进展包括
 ->A. 超声造影剂的应用
 ->B. 二次谐波显像技术的应用
 ->C. 三维超声的应用
 ->D. 介入超声的应用
 ->E. 彩色多普勒超声的应用

275. 下列是“卵黄囊征”的选项有
   A. 原始卵黄囊大于羊膜囊
 ->B. 胎囊≥2.5 cm，而未见卵黄囊
 ->C. 卵黄囊>4 mm或自由漂浮
 ->D. 复查时卵黄囊未见长大
 ->E. 复查时卵黄囊可消失

276. 甲状腺囊肿包括
 ->A. 单纯性囊肿
 ->B. 囊腺瘤
 ->C. 甲状腺癌囊性变
 ->D. 出血性囊肿
 ->E. 皮样囊肿和包虫囊肿

277. 有一中年男性高血压患者，突然出现剧烈胸痛，应考虑以下哪几种可能
 ->A. 不稳定型心绞痛
 ->B. 急性心肌梗死
   C. 急性化脓性心包炎
 ->D. 主动脉夹层动脉瘤
   E. 主动脉窦瘤破入右心室

278. 颈动脉硬化闭塞的脉冲多普勒表现
   A. 颈动脉轻度狭窄：频谱轻度增宽，V<sub>max</sub>无变化
 ->B. 颈动脉轻度狭窄：频谱轻度增宽，V<sub>max</sub>无明显变化或轻度增快
   C. 颈动脉中、重度狭窄：V<sub>max</sub>加快，频谱增宽
 ->D. 颈动脉中、重度狭窄：V<sub>max</sub>加快，舒张期反向血流消失，频谱增宽
 ->E. 颈动脉完全闭塞，测不出频谱，远心端V<sub>max</sub>平均速度减慢，舒张期反向血流消失，呈低幅连续单相血流频谱

279. 单纯膜部室间隔缺损的超声表现，以下正确的是
 ->A. 左心系统增大
   B. 右心系统增大
 ->C. 室间隔膜周部可见回声失落
 ->D. 该处可记录到左向右的穿隔血流信号
   E. 主动脉骑跨于室间隔上

280. 纵膈内动脉瘤的超声表现下列正确的有
 ->A. 境界清楚，轮廓整齐的无回声区
 ->B. 壁清晰，回声较高
 ->C. 两侧端与正常动脉连接交通
   D. 不与正常动脉交通
 ->E. CDFI：可记录到动脉血流频谱

281. 患者男性，29岁，临床诊断为大量心包积液，治疗后一年，出现缩窄性心包炎症状，其超声心动图表现包括
   A. 心包内大片液性暗区
 ->B. 心包脏、壁层增厚
 ->C. 心包内少许液性暗区
 ->D. 心包脏、壁层粘连、钙化
 ->E. 室间隔运动呈“橡皮筋”样抖动

282. 患者，男，29岁，临床诊断脉络膜黑色素瘤，其超声表现正确的是
 ->A. 视力减退和视野缺损
 ->B. 是成年人最常见的眼内恶性肿瘤
 ->C. 在葡萄膜肿瘤中占61.5%
 ->D. 居眼内恶性肿瘤的第3位
   E. 白瞳孔是最常见的体征

283. 下列关于肾上腺髓样脂肪瘤描述正确的有
 ->A. 可有两种声像图表现
 ->B. 患侧肾上腺大于健侧
   C. 与邻近肾周围脂肪组织间无明显包膜
 ->D. 可随呼吸活动而变形
 ->E. 呈三角形、新月形或不规则形

284. 患者，男，17岁，突发右侧睾丸疼痛1小时，临床诊断右侧睾丸扭转，其超声表现正确的是
 ->A. 内部回声欠均匀
 ->B. 睾丸内呈中等回声
 ->C. 睾丸周围少量液体
 ->D. 睾丸轻度肿大
 ->E. CDFI睾丸内血流信号消失

285. 下列哪些是子宫动脉的特点
   A. 子宫、输卵管的血供由子宫动脉供应，卵巢的血供由卵巢动脉供应
 ->B. 子宫动脉在健康育龄妇女显示率为100%，两侧对称，为中高速血流
 ->C. 子宫动脉频谱呈尖峰状、单相、上升速度快、下降速度稍慢
 ->D. 舒张期仍有低速血流、较平坦，RI随月经周期呈规律性改变
   E. 舒张期无低速血流

286. 关于急性附睾炎的描述，正确的有
 ->A. 上行性附睾炎首先发生与尾部，然后波及体部
   B. 血行性附睾炎首先发生与尾部，然后波及体部
 ->C. 附睾头和（或）尾部增大，常呈低回声
 ->D. 超声压痛征阳性
 ->E. CDFI提示血供增多

287. 彩色多普勒组织成像有哪些显示方式
 ->A. 速度型
 ->B. 能量型
 ->C. 加速度型
   D. 频谱形
   E. 热量型

288. 脾肿大的声像图特点为
 ->A. 左肋缘下探及肿大的脾脏实质性图像，随呼吸而上下移动
 ->B. 有明确的边缘，其内侧可显示一个或两个脾切迹
 ->C. 可探及有血管出入的脾门
 ->D. 在前腹壁检查较易显示脾脏声像图
   E. 脾脏长度超过8 cm，厚度超过3 cm

289. 子宫肌瘤的临床表现是
 ->A. 月经量多
 ->B. 不孕
 ->C. 慢性贫血
 ->D. 腹痛
   E. 月经量少

290. 经腹壁超声检查的优点是
 ->A. 不受年龄限制，对小女孩及未婚者更为适用
 ->B. 能清晰显示子宫、卵巢较大肿物及与邻近脏器的关系
 ->C. 能清晰显示盆腔较大肿块并判断来源
   D. 早期发现子宫腔内膜小病变
   E. 不受腹壁干扰

291. 以下哪几项是胃肠恶性淋巴瘤的主要超声特点
   A. 胃肠壁增厚、僵硬
   B. 肿块质硬，探头加压时不变形
 ->C. 肿块质软，探头加压时可变形
   D. 增厚胃肠壁多是低回声
 ->E. 胃肠壁增厚显著，而管腔狭窄不严重

292. 子宫肌瘤的声像图特点是
 ->A. 子宫增大，局限性隆起
 ->B. 子宫表面不平
 ->C. 子宫内膜线移位
 ->D. 膀胱产生压迹及变形
   E. 子宫均匀性增大

293. 超声测量双顶径影响准确性的因素有
 ->A. 选择测量平面不标准
 ->B. 胎头方位
 ->C. 胎头头型
   D. 羊水过少
   E. 以上都不是

294. 肺动脉瓣口血流的正常多普勒频谱具备下列哪些特点
 ->A. 从基线向下的负向频谱
 ->B. 呈单峰频谱
 ->C. 窄带状三角形或抛物线形脉冲波
   D. 从基线向上的正向频谱
 ->E. 血流速度小于主动脉瓣口血流

295. 乳腺超声诊断的新进展包括
 ->A. 超声造影剂的应用
 ->B. 二次谐波显像技术的应用
 ->C. 三维超声的应用
 ->D. 介入超声的应用
 ->E. 彩色多普勒超声的应用

296. 枯萎妊娠囊声像图表现是
 ->A. 宫腔内形态不规则胎囊
 ->B. 胎囊内无胎芽、无胎心
 ->C. 胎囊内可见小胎块
 ->D. 随访观察胎囊可增大，可出现胎盘回声
   E. 以上都不

297. 李某，女32岁，孕42<sup>+</sup>周，其超声声像图表现，正确的是
 ->A. 胎盘老化
 ->B. 易发生胎儿窘迫
 ->C. 胎儿皮下脂肪变薄
   D. 羊水量增多
 ->E. 胎儿测值常小于同孕龄胎儿

298. 以下哪几项是对肠梗阻的正确描述
 ->A. 梗阻处肠黏膜皱襞水肿
 ->B. 肠蠕动增强、减弱或消失
 ->C. 合并穿孔时可有腹水
 ->D. 梗阻以上部位肠管扩张
   E. 梗阻以上部位的肠管多无扩张

299. 纵隔常见囊肿有哪些
 ->A. 胸内甲状腺囊肿
 ->B. 胸腺囊肿
 ->C. 囊性淋巴管瘤
 ->D. 纵隔内动脉瘤
 ->E. 心包囊肿

300. 关于急性附睾炎的描述，正确的有
 ->A. 上行性附睾炎首先发生与尾部，然后波及体部
   B. 血行性附睾炎首先发生与尾部，然后波及体部
 ->C. 附睾头和（或）尾部增大，常呈低回声
 ->D. 超声压痛征阳性
 ->E. CDFI提示血供增多

301. 下列描述中哪些是附睾结核的特点
 ->A. 首先发生于附睾尾，以后扩大到附睾其他部位和睾丸
 ->B. 病程较长者出现钙化强回声，伴有声影
 ->C. 容易累及睾丸，在睾丸内出现低回声或中等回声病灶
 ->D. 病程进展可累及阴囊皮肤甚至破溃形成窦道
   E. CDFI：炎症区血流增多

302. 急性阑尾炎的超声特点是
   A. 阑尾的内径多小于0.4 cm
 ->B. 增粗的阑尾呈带状低回声
 ->C. 异常阑尾周围的局限性积液
 ->D. 扩张的阑尾腔内显示积液
   E. 发炎的阑尾壁多无异常改变

303. 双子宫双阴道的声像图特点是
