1. 患者15岁，男性，自幼肌肉僵硬，张力高，随意运动出现局部强直，肌僵硬更明显，易疲劳无力，检查受累肌肉肥大，硬韧，机械刺激后产生持续性肌肉收缩，出现肌丘或局部肌肉凹陷。EMG检查呈强制性放电。超声检查见受累肌肉肥厚，肌束回声粗大，受刺激后肌肉强直收缩时更明显，肌腹呈条索样隆起，回声减低，其他肌肉无异常。最可能的诊断为
   D. 单纯性甲状腺肿
   E. 甲状腺囊肿

468. 胆囊未见液腔回声，可探及6 cm×5 cm形态不规则的低回声不均匀实性肿块，内见多发强回声团伴声影，肿块内测得高速动脉样血流信号，肿块与肝床界限不清。最可能的诊断是
   A. 蕈伞型胆囊癌
   B. 混合型胆囊癌
 ->C. 实块型胆囊癌
   D. 胆管细胞肝癌
   E. 肝细胞肝癌
解析：这是胆囊窝的较大实性肿块，故A、B皆可除外，主要鉴别点在于是原发性肝癌还是胆囊癌浸润肝脏。由于肿块内有强回声团伴声影，这是胆囊结石的特征，结石的长期慢性炎性刺激可导致癌变发生，其后胆囊癌生长将结石包裹于其内。另外，胆囊壁和胆囊肿瘤内可检测到高速动脉样血流信号。

469. 患者，女，26岁，停经一个半月，有时恶心，呕吐。经腹盆腔超声检查发现：子宫纵断时腔内发现一个妊娠囊，横断时发现双孕囊。最可能是以下哪种伪像所致
   A. 镜面伪像
   B. 侧边折射声影伪像
   C. 声速失真伪像
 ->D. 棱镜伪像
   E. 主声束以外旁瓣伪像

470. 患者，男性，18岁，胸痛。经胸超声心动图大动脉短轴观所示，根据肺动脉瓣口血流频谱<img src="https://exam.mvwchina.com/upload/2016/12/7ba4af6aaa8b48af995a1cd2e2a026e1.jpg "/>，下列选项正确的是
 ->A. 应进行球囊瓣膜成形术
   B. 有肺动脉瓣瓣下狭窄
   C. 可能有肺动脉瓣二瓣化畸形
   D. 胸痛与瓣膜损害无关
   E. 以上都不正确

471. 患儿，男性，9岁，体检发现心脏杂音。经胸超声心动图大动脉短轴观及彩色血流所示<img src="https://exam.mvwchina.com/upload/2016/12/76005e5a586840ba89224a0fd00faed5.jpg "/>，根据彩色血流及频谱<img src="https://exam.mvwchina.com/upload/2016/12/3511430327e54cfdb2a244a0c4f587ac.jpg "/>，下列选项正确的是
   A. 冠状动脉瘘
   B. 肺动脉瓣反流
 ->C. 动脉导管未闭
   D. 肺动脉异位引流
   E. 以上都不正确

472. 患者男性，68岁，一个月前无明显诱因出现尿黄、腹胀、腹痛。超声示肝内未见明显占位，肝内胆管扩张，胆囊增大，胆总管内径2.5 cm，末端可见2.2 cm×1.5 cm的低回声，形态不规整，胰腺未见明显异常，下述说法不正确的是
   A. 该患者为梗阻性黄疸
   B. 胆总管下段癌和壶腹癌在声像图上鉴别困难
   C. 根据胆管扩张的范围一般可做出梗阻部位的判断
   D. 胆囊不一定均增大
 ->E. 胆总管扩张则一定存在梗阻

473. 患者，女60岁，临床诊断Buerger病，表现错误的是
   A. 是发生在四肢膝、肘关节远端，中小型动脉节段性的全层炎症性疾病
 ->B. 其伴行动脉也常伴有炎症和血栓形成
   C. 其超声表现，在二维图像上显示病变动脉内膜增厚、毛糙
   D. 病变部位与正常部分界限分明
   E. 彩色及脉冲多普勒显示节段性动脉狭窄、闭塞及伴行静脉炎症、血栓同时存在的血流色彩和频谱的相关改变

474. 患者，男性，40岁，脾脏肿大，回声轻度减低，实质内探及多个圆形低回声及无回声结节，边界清楚，超声提示
 ->A. 脾恶性淋巴瘤
   B. 脾结核
   C. 脾梗死
   D. 脾血管瘤
   E. 脾转移癌

475. 患者，男性，32岁，突发性左季肋部绞痛4小时，无发热，血象正常。尿常规红细胞20～30个。超声检查见左肾集合系统轻度分离，该侧输尿管上段约0.6 cm，其远侧段显示不清。该病例不能除外
   A. 肾癌
   B. 急性肾盂肾炎
   C. 急性肾小球肾炎
 ->D. 输尿管结石
   E. 肾平滑肌脂肪瘤

476. 患者男性，61岁，高血压多年，一周前腹泻，四天前便血伴腹胀乏力，腹部平片示多个弓形小肠袢影，结肠充气。以“下消化道出血、不全肠梗阻”入院，超声示右下腹腔肠管粘连，肠壁增厚，明显水肿，肠壁血运明显减少，肠间少量积液。最可能的诊断是
   A. 肠结核
   B. 肠套叠
 ->C. 坏死性肠炎
   D. 肠肿瘤
   E. 肠扭转

477. 患者35岁，男性，因右膝关节周围肌肉内局部触到疼痛性肿块来诊，半年前有外伤史。查体：肿块骨样硬，无移动性，有压痛，关节活动受限。超声检查见肿块呈不规则、多层密集强回声团，有明显声影，边缘回声不清。最可能的诊断为
   A. 肌肉血肿
   B. 横纹肌溶解症
 ->C. 局限性骨化性肌炎
   D. 先天性肌强直
   E. 以上都不是

478. 患者男性，36岁，无自觉症状。体检时超声所见：左肾大小、形态正常，下极实质显示一边界清楚、薄壁、圆形的无回声区，后方回声增强，其余肾实质回声正常。本病可诊断为
   A. 肾错构瘤
   B. 肾结核
   C. 多囊肾
 ->D. 肾囊肿
   E. 肾癌

479. 男性，6岁。生后有发绀，6个月后发绀明显，平时喜欢蹲踞，哭泣时有突发性呼吸急促和青紫加重。临床表现符合下列哪项疾病
   A. 室间隔缺损
   B. 间隔缺损并肺动脉高压
 ->C. 法洛四联症
   D. 动脉导管未闭
   E. 肺动脉口狭窄

480. 一6岁男孩，出生后有紫绀，6个月后紫绀明显，平时喜欢蹲踞，哭泣时有突发呼吸急促和青紫加重，请指出以下哪项诊断可能性大
   A. 房间隔继发孔缺损
   B. 室间隔小缺损
   C. 动脉导管未闭
 ->D. 法洛四联症
   E. 肺动脉口狭窄

481. 患者28岁，为室间隔缺损，左向右分流，用彩色多普勒技术检查分流血流，对仪器的调节，下述哪一项是错误的
 ->A. 低通滤波
   B. 高频（7MHz以上）电子相控阵探头
   C. 电子线阵探头（5MHz以上）
   D. 高速挡速度标尺（高脉冲重复频率）
   E. 彩色图选用两色彩图

482. 患者，女，70岁，临床诊断颈动脉中度以上狭窄，内径减少百分之多少为其形态学指标
 ->A. ＞60%
   B. ＞30%
   C. ＞50%
   D. ＞40%
   E. ＞70%

483. 患者男性，28岁，乏力，气急，浮肿等充血性心力衰竭症状，超声心动图诊断为扩张型心肌病，其超声表现不包括
   A. 全心腔扩大
   B. 室壁运动弥漫性减弱
   C. 大心腔，小瓣口
 ->D. 主动脉瓣提前关闭
   E. 二尖瓣EPSS增大

484. 患者女性，45岁，体检时于心尖区听诊，可闻及第一心音亢进及舒张期附加音，超声显示左房内可探及一椭圆形略高回声团，舒张期摆向二尖瓣口，收缩期回到左心房，并于二尖瓣口可录及到舒张期的射流频谱，流速2.1m/s，可能的诊断为
   A. 二尖瓣狭窄
   B. 二尖瓣赘生物
   C. 左房血栓
 ->D. 左房黏液瘤
   E. 二尖瓣脱垂
解析：根据左房内略高回声团，随心动周期往返于二尖瓣口与左心房之间，可初步诊断为左房黏液瘤，黏液瘤造成二尖瓣口机械性狭窄，故于瓣口可录及舒张期高速射流。

485. 患者，男，46岁，脾脏大小形态正常，回声不均匀，实质内探及散在分布的多个粟粒样强回声点，边界清楚，可提示诊断为
   A. 脾恶性淋巴瘤
 ->B. 脾结核
   C. 脾梗死
   D. 脾血管瘤
   E. 脾转移癌

486. 患者女性，68岁，超声示胃壁增厚，形成大小为9.2 cm×7.5 cm的低回声实性肿块，是由数个弱回声结节融合而成，内部透声好，探头加压发生变形，最可能的诊断是
   A. 胃平滑肌瘤
   B. 胃息肉
 ->C. 胃恶性淋巴瘤
   D. 胃平滑肌肉瘤
   E. 胃间质瘤

487. 患者，男性，72岁，体检发现明显的收缩期杂音而就诊，无胸痛、晕厥、明显的呼吸困难病史。门诊检查：主动脉瓣听诊区明显的3/6收缩期杂音，放射至颈部血管，无收缩期喀喇音、第二心音分裂及其他杂音和奔马律，肺部检查未见明显异常。经胸超声心动图：左心室大小正常范围，射血分数65%，左心室流出道时间速度积分（LVOT VTI）15 cm，左心室流出道峰值流速0.8 m/s，主动脉瓣峰值流速4.8 m/s，主动脉瓣VTI 100 cm，LVOT 面积是4 cm ，出现以上超声改变的病因可能是
 ->A. 主动脉瓣重度狭窄 瓣口面积＜1 cm<sup>2</sup>
   B. 主动脉瓣中度狭窄
   C. 左心室流出道梗阻
   D. 现有数据不能诊断主动脉瓣狭窄
   E. 以上都不正确

488. 患者女性，12岁，心悸，气短，超声心动图诊断为左房黏液瘤，超声特点不包括
   A. 肿块可发生变形
   B. 肿块活动度大
   C. 肿块有蒂
   D. 肿块根部小
 ->E. 肿块无蒂
解析：左房黏液瘤二维超声特点包括左房内见大小不等、形态各异的异常回声团，柔顺度大，活动度大，随血流而动。黏液瘤蒂粗细不等，蒂的长度亦有很大差别，但一般都有蒂附着于房间隔、房壁或房室瓣上。

489. 一名男童反复发作腹痛两年，右上腹部可触及包块，因近来出现黄疸而就医，超声检查见胆囊缩小，肝内胆管未见明显扩张，于胆总管部位可见8cm× 6cm椭圆形囊肿，延至胰头，该囊肿与近端肝管相连，囊壁较厚，最可能的诊断为
   A. 多囊肝
   B. 右肾上腺囊肿
 ->C. 先天性胆总管囊肿
   D. 胆道包虫
   E. 胰腺假性囊肿
解析：因该囊肿和近端肝管相连，故诊断为先天性胆总管囊肿。

490. 患者，女性42岁，临床诊断卵巢黏液性囊腺癌，其声像图表现下列哪一项是错误的
   A. 呈多房结构
   B. 分隔不均匀性增厚
   C. 增厚的囊壁可向周围浸润
   D. 经阴道彩超有助于早期发现肿瘤
 ->E. 多为双侧

491. 患者，女性，25岁，3年来多次昏倒，数分钟后恢复。体检：坐位时，心尖区有舒张期隆隆样杂音，卧位时该杂音消失。超声检查左心长轴切面在左房内呈现云团状肿块切面回声，其瘤体回声随心脏舒张与收缩而活动。最可能为
   A. 风湿性心脏病二尖瓣狭窄
   B. 肺心病
 ->C. 左房黏液瘤
   D. 肥厚性梗阻型心脏病
   E. 风湿性心脏病主动脉瓣狭窄

492. 患儿，男，3岁。超声显示肝脏增大，形态失常，右叶可见一14 cm×16 cm大小的实性强回声团块，边界清楚，内回声不均匀，内可见强光团，后伴声影，最可能的诊断是
   A. 畸胎瘤
 ->B. 肝母细胞瘤
   C. 错构瘤
   D. 肝内血肿
   E. 肝肉瘤

493. 患者女性，30岁，腹痛、低热、盗汗，因下腹部触及肿块而就诊，超声检查发现肠管壁弥漫性增厚，形态僵硬，下腹部肠管粘连成团块状，蠕动减弱，肠管周围可见肿大淋巴结及少量腹水。最可能的诊断为
   A. 肠肿瘤
 ->B. 肠结核
   C. 溃疡性结肠炎
   D. 克罗恩病
   E. 肠憩室

494. 患者男性，36岁，无自觉症状。体检时超声所见：左肾大小、形态正常，下极实质显示一边界清楚、薄壁、圆形的无回声区，后方回声增强，其余肾实质回声正常。本病可诊断为
   A. 肾错构瘤
   B. 肾结核
   C. 多囊肾
 ->D. 肾囊肿
   E. 肾癌

495. 患者，男性，33岁，初发房颤，2小时后转复，次日行食管超声心动图检查，根据左心耳图<img src="https://exam.mvwchina.com/upload/2016/12/3163dba563cd45628bbd2040f2fb157e.jpg "/>所示，下列诊断正确的是
   A. 赘生物
 ->B. 梳状肌
   C. 血栓
   D. 导管电极
   E. 以上都不正确

496. 患者女性，50岁，无症状，偶然发现颈粗，超声检查发现甲状腺轻度肿大，内见多个囊实性小结节，最可能是
   A. 甲状腺炎
   B. 毒性甲状腺肿
 ->C. 结节性甲状腺肿
   D. 单纯性甲状腺肿
   E. 甲状腺囊肿

497. 患者，男性，40岁，述上腹不适、消瘦。超声检查提示胃窦部胃壁不规则增厚。厚达2.5 cm，呈中心强回声的“假肾样”低回声团块，其近端胃腔扩大，内容物潴留。最可能诊断是
   A. 胃平滑肌瘤
 ->B. 胃癌
   C. 胃平滑肌肉瘤
   D. 慢性肥厚性胃炎
   E. 胃黏膜巨大肥厚征

498. 患者，男性，32岁，突发左腰部绞痛2小时，无发热，血常规检查正常。尿常规：红细胞20～30个。超声检查见左肾集合系统轻度分离，该侧输尿管上段内径约7 mm。该病最可能的诊断为
   A. 肾癌
   B. 急性肾炎
 ->C. 输尿管结石
   D. 肾包膜血肿
   E. 肾平滑肌脂肪瘤

499. 患者女性，22岁，既往发现房间隔缺损，来我院复诊，超声心动图如下，其房间隔缺损是哪种类型<img src="https://exam.mvwchina.com/upload/Picture/7c26d3992bca42c594c788921662d6f7.jpg "/>
   A. 原发孔型
   B. 冠状窦型
   C. 上腔型
 ->D. 下腔型
   E. 中央型

500. 患者女性，36岁，孕33周，胎儿腹部横切面显示腹壁皮肤层回声中断，肠管及部分肝脏向腹腔外突出并漂浮在羊水内，最正确的诊断是
   A. 脐疝
   B. 脐膨出
 ->C. 腹裂畸形
   D. 中肠疝
   E. 肠管外翻畸形

501. 患者女性，23岁，体检发现，胸骨左缘三四肋间收缩期杂音，超声心动图如下<img src="https://exam.mvwchina.com/upload/2016/12/7f1163104bdb470c9b638c3478c7e029.jpg "/>，诊断正确的是
   A. 房间隔膨出瘤伴破口形成
   B. 房间隔缺损
 ->C. 室间隔假性膜部瘤，室间隔缺损
   D. 室间隔真性膜部瘤伴破口形成
   E. 心内膜垫缺损

502. 患者男性，45岁，有牧区生活史，超声检查：肝右叶可见一个7 cm×8 cm囊性占位，包膜较厚，回声高，呈双层，囊液透声不好，囊液中有细小的点状回声，可随体位改变而出现滚动，最可能的诊断是
   A. 肝囊肿合并感染
   B. 肝血肿
 ->C. 肝包虫囊肿
   D. 肝囊腺瘤
   E. 胆管囊肿合并感染

503. 患者男性，60岁，查体时发现颈前偏右有一实性结节，不活动，质硬，同侧淋巴结肿大，超声显示：甲状腺右叶呈单发，不规则实性的低回声结节，境界不清，CDFI有高速血流信号，最可能是
   A. 甲状腺囊肿
   B. 甲状腺腺瘤
 ->C. 甲状腺癌
   D. 亚急性甲状腺炎
   E. 颈淋巴瘤

504. 患儿女性，4岁，右侧腹部包块就诊，超声特征：右侧肾脏明显增大，失去正常形态，内见10cm左右边界清楚低回声不均匀实性肿块，肿块内部有不规则片状无回声区及强光团，血运极丰富，残存少量肾组织被挤压至一侧。本病可诊断为
   A. 肾错构瘤
   B. 肾结石
   C. 肾脓肿
   D. 肾血肿
 ->E. 肾母细胞瘤
解析：肾母细胞瘤亦称Wilms瘤，多见于2～4岁儿童。其特点是瘤体大，生长迅速。声像图依肿瘤大小、是否均质、出血坏死以及液化等而有很大不同。

505. 患者，男性，54岁，因急性心肌梗死入院。急诊行冠状动脉造影发现右冠动脉完全闭塞，行PCI，成功安放支架后第3天，该患者突发急性呼吸困难大汗，急诊床旁超声心动显示左心功能处于高动力状态，未发现心包积液，二尖瓣连续多普勒显示收缩期明亮匕首状频谱，患者出现症状的最可能原因是
   A. 左心室游离壁破裂
   B. 室间隔穿孔并大室缺
 ->C. 乳头肌断裂致急性二尖瓣重度反流
   D. 急性支架内血栓
   E. 心脏破裂

506. 女，18岁，因月经不来潮就诊。超声检查如图，最可能的诊断为<img src="https://exam.mvwchina.com/upload/Picture/d5df92ddba294b20b28e36ad6fb7a7ed.jpg "/>
   A. 畸胎瘤
 ->B. 先天性无子宫
   C. 子宫肌瘤
   D. 双子宫
   E. 始基子宫

507. 患者女性，13岁，紫绀多年就诊，超声心动图如下图，以下诊断正确的是<img src="https://exam.mvwchina.com/upload/Picture/85fbb9acf0be451ca4afb123cb7a4494.jpg "/>
   A. 右心发育不良
   B. 右室双腔心
 ->C. 三尖瓣下移畸形
   D. 三尖瓣闭锁
   E. 三尖瓣重度关闭不全

508. 患者女性，32岁，因周期性低血糖行超声检查，于胰腺体部探及直径17 mm的类圆形低回声结节，边界清晰，包膜完整，内部回声均匀，其诊断最可能为
   A. 胰腺腺瘤
   B. 胰腺囊腺瘤
   C. 胰腺真性囊肿
   D. 胰腺癌
 ->E. 胰岛素瘤

509. 患者男性，52岁，自觉腰腹部胀痛，乏力，高血压。超声所见：双肾增大，形态失常，被膜凹凸不平，肾实质基本消失，为大小不等类圆形囊腔占据，肾窦受压变形。本病应诊断为
   A. 肾脓肿
   B. 肾结核
 ->C. 多囊肾
   D. 肾囊肿
   E. 肾癌

510. 患者男性，心悸、气短、发热、体重减轻就诊，实验室检查显示贫血、血沉增快、血清蛋白异常，超声心动图如下，心腔内的异常回声最可能是<img src="https://exam.mvwchina.com/upload/Picture/3e7166145a9749fc98427c813896ea99.jpg "/>
   A. 血栓
 ->B. 黏液瘤
   C. 赘生物
   D. 横纹肌瘤
   E. 纤维瘤

511. 化疗药物对下列哪种女性生殖器恶性肿瘤疗效最好
   A. 卵巢癌
   B. 子宫体癌
 ->C. 绒毛膜癌
   D. 子宫颈癌
   E. 子宫肉瘤
解析：绒毛膜癌的治疗原则是以化疗为主，手术和放疗为辅。

512. 男性，50岁。肝癌行肝动脉栓塞术后2天，左上腹疼痛。超声检查显示脾脏肿大，中下部见楔形低回声区，尖端指向脾门，其内彩色多普勒超声未记录到血流信号。最可能的诊断是
   A. 转移癌
   B. 脾结核
   C. 炎性病灶
 ->D. 脾梗死
   E. 恶性淋巴瘤

513. 患者男性，45岁，有牧区生活史，超声检查：肝右叶可见一个7 cm×8 cm囊性占位，包膜较厚，回声高，呈双层，囊液透声不好，囊液中有细小的点状回声，可随体位改变而出现滚动，最可能的诊断是
   A. 肝囊肿合并感染
   B. 肝血肿
 ->C. 肝包虫囊肿
   D. 肝囊腺瘤
   E. 胆管囊肿合并感染

514. 患者，男性，59岁，主因胸闷、憋气来我院急诊，听诊可闻及收缩期杂音。经胸超声心动图所示<img src="https://exam.mvwchina.com/upload/2016/12/7c8cbb37f97e4b34bd6ae96f55e2ee8a.jpg "/>，房水平可见双向分流信号，肺动脉收缩期压力估测60 mmHg。该患者属于哪种先天性心脏病
   A. 室间隔缺损伴有艾森门格综合征
 ->B. 继发孔型房间隔缺损伴有艾森门格综合征
   C. 原发孔型房间隔缺损伴有艾森门格综合征
   D. 肺动脉高压伴有艾森门格综合征
   E. 以上都不正确

515. 患者男性，24岁，车祸后左腰部胀痛明显，无发热。血常规：Hb 10 g，白细胞不高，超声特征：左侧肾脏上极实质回声不均匀，肾包膜连续性中断，肾周脂肪囊内可见形态不规则透声不好的无回声区。本病可诊断为
   A. 肾错构瘤
   B. 肾结石
   C. 肾脓肿
 ->D. 肾血肿
   E. 肾母细胞瘤

516. 患者女性，70岁，多年来一直按冠心病治疗，超声心动图检查后，诊断为先心病、房间隔缺损，其超声表现不包括
   A. 房间隔连续中断
   B. 右室、右房常增大
 ->C. 分为肌部、膜部缺损
   D. 室间隔与左室后壁同向运动
   E. 肺动脉常增宽

517. 男性，68岁。1个月前无明显诱因出现尿黄、腹胀、腹痛。超声检查示肝内未见明显占位，肝内胆管扩张，胆囊增大，胆总管内径2.5cm，末端可见2.2 cm×1.5 cm的低回声，形态不规整，胰腺未见明显异常。下述说法不正确的是
   A. 该患者为梗阻性黄疸
   B. 胆总管下段癌和壶腹癌在声像图上鉴别困难
   C. 根据胆管扩张的范围一般可做出梗阻部位的判断
   D. 胆囊不一定都增大
 ->E. 胆总管扩张则一定存在梗阻
解析：肝内外胆管扩张是超声判断胆道梗阻的标志，胆管扩张提示有梗阻，而胆管不扩张提示为非梗阻性黄疸。由于胆总管下段癌和壶腹癌在声像图上鉴别困难，故可统称为壶腹部癌。胆囊与胆总管处于矛盾的张力状态，提示胆囊颈部阻塞或胆囊本身存在病变，因此，低位梗阻时胆囊不一定均增大。而胆总管扩张不一定存在梗阻，要排除代偿性因素。

518. 患者男性，46岁，活动后心悸，气短1年余，听诊主动脉区可闻及收缩期喷射样杂音，临床拟诊断主动脉病变，行超声心动图检查，则用二维超声对风湿性主动脉病变和先天性主动脉病变进行鉴别诊断时，不包括以下哪项
   A. 二维超声心动图观察有无主动脉瓣增厚、钙化
   B. 二维超声心动图观察主动脉瓣数目
   C. 观察瓣膜交界处有无粘连、融合
   D. 观察其他瓣膜，尤其是二尖瓣有无增厚、钙化、粘连等病变
 ->E. CDFI或频谱多普勒观察主动脉瓣口有无狭窄、反流

519. 患者，女，80岁，胸闷气急，心脏超声检查示右室后壁及后间隔运动幅度低平，增厚率减低，考虑病变的冠状动脉为
   A. 左前降支
   B. 左旋支
 ->C. 后降支
   D. 窦房结支
   E. 以上都不是

520. 患者男性，59岁，经股动脉逆行冠脉造影术后半小时，突发腹痛，面色苍白，心悸，血压：70/50mmHg。超声特征：左后腹膜可见一10.8cm×7.6cm大小、边界清楚、形态欠规则的低回声区，内未见明显血流信号。本病最有可能的诊断为
   A. 左后腹膜血管瘤
   B. 左后腹膜囊肿
   C. 左后腹膜脓肿
 ->D. 左后腹膜血肿
   E. 左后腹膜脂肪瘤
解析：后腹膜血肿是股动脉逆行冠脉造影术常见的并发症之一，血管损伤造成血液经破损口流入后腹膜间隙，结合患者的病史、临床症状及体征不难做出正确选择。

521. 患儿女性，4岁，右侧腹部包块就诊，超声特征：右侧肾脏明显增大，失去正常形态，内见10 cm左右边界清楚低回声不均匀实性肿块，肿块内部有不规则片状无回声区及强光团，血运极丰富，残存少量肾组织被挤压至一侧。本病可诊断为
   A. 肾错构瘤
   B. 肾结石
   C. 肾脓肿
   D. 肾血肿
 ->E. 肾母细胞瘤

522. 一患者右大腿、小腿和踝部收缩压与上肢收缩压相比明显降低。但整个下肢血压相差不大，此时应进行的检查是
   A. 整个下肢动脉的多普勒血流显像
 ->B. 髂动脉的多普勒血流显像
   C. 运动测试
   D. 颈动脉的多普勒血流显像
   E. 腘动脉多普勒血流显像

523. 患者女性，65岁，活动后疲劳、气短；听诊可于心尖部闻及全收缩期吹风样杂音。彩色多普勒显示收缩期左房内以蓝色为主的花彩血流，面积18.6 cm<sup>2</sup>，超声诊断为
   A. 二尖瓣反流，轻度
   B. 二尖瓣反流，中度
 ->C. 二尖瓣反流，重度
   D. 三尖瓣反流，轻度
   E. 三尖瓣反流，中-重度

524. 患者男性，77岁，无痛性血尿，超声示膀胱三角区乳头状隆起性病灶3cm×2cm，基底部较宽，不随体位移动，首选的诊断是
   A. 膀胱结石
   B. 膀胱内血凝块
   C. 血管瘤
 ->D. 膀胱癌
   E. 膀胱内异物

525. 患者，男，58岁，自述肝区轻度不适，一直生活于四川，既往患有血吸虫病史13年，超声综合描述：肝回声明显不均，全肝布满结节，呈“网格状”改变。超声提示
   A. 脂肪肝
 ->B. 血吸虫病肝纤维化
   C. 肝包虫病
   D. 肝多发占位
   E. 乙肝肝硬化

526. 女性，20岁。多毛，体胖，月经稀少。肛查：子宫正常大小，双侧卵巢增大，血LH/FSH＞3.0，诊断可能为
 ->A. 多囊卵巢
   B. 卵巢肿瘤
   C. 卵巢囊肿
   D. 卵巢子宫内膜异位症
   E. 子宫内膜炎
解析：多囊卵巢综合征又称施-李综合征，多见于17～30岁妇女，常见的症状有多毛、肥胖、月经稀少、月经过少甚至闭经，也有表现为月经过多和不孕。妇检子宫多为正常大小，双侧卵巢增大。

527. 患者女性，30岁，哺乳期发现双乳肿块，超声显示双乳内各有数个大小不等的无回声区，边界光滑，后方回声增强，最可能是
   A. 乳腺炎
   B. 乳腺脓肿
 ->C. 乳腺囊肿
   D. 乳腺增生
   E. 乳腺腺瘤

528. 患者50岁，女性，发现颈部局部隆起半年，生长缓慢，查体：病变处无红肿，无压痛，质地柔软，无粘连，有一定活动度；超声检查见皮下形态规则、边缘整齐、界限清楚、表面平滑的实性团块，内部为弥漫、大致均匀的较强回声区，后方无回声增强。最可能的诊断为
   A. 颈部淋巴结炎
   B. 颈部淋巴瘤
   C. 颈部神经纤维瘤
 ->D. 颈部脂肪瘤
   E. 以上都不是

529. 患者男性，近两年来有心慌、憋气，进行性加重，二维超声见心脏扩大，左室扩大明显呈球形，室间隔及左室后壁似乎变薄，但测值属正常范围，室壁运动普遍减低，各瓣膜无增厚，EPSS明显增大，呈高容量、低动力型血流动力学表现，心尖部可见附壁血栓光团，彩色多普勒血流显像：二尖瓣轻度反流，最可能诊断为
   A. 冠心病，心肌硬化型
   B. 冠心病并左心衰
 ->C. 扩张型心肌病
   D. 甲亢性心脏病
   E. 尿毒症性心脏病
解析：题干所提供的信息均为扩张型心肌病的超声特点，尤其是左室明显扩大呈球形是其重要的诊断依据之一。冠心病合并左心衰竭，甲亢性及尿毒症性心肌病早期时其超声表现与扩心病不同，虽然晚期有很多相似点，但均应有相应的病史。

530. 患者男性，28岁，乏力，气急，浮肿等充血性心力衰竭症状，超声心动图诊断为扩张型心肌病，其超声表现不包括
   A. 全心腔扩大
   B. 室壁运动弥漫性减弱
   C. 大心腔，小瓣口
 ->D. 主动脉瓣提前关闭
   E. 二尖瓣EPSS增大

531. 患者，男，46岁，脾脏大小形态正常，回声不均匀，实质内探及散在分布的多个粟粒样强回声点，边界清楚，可提示诊断为
   A. 脾恶性淋巴瘤
 ->B. 脾结核
   C. 脾梗死
   D. 脾血管瘤
   E. 脾转移癌
解析：脾脏内钙化点多见于脾结核，其余选项声像图上常表现为低回声或高回声。

532. 男性，36岁。平时无任何不适。体检超声检查发现左肾有一实性病灶，位于肾脏中1/3部偏外侧，相当于肾柱部位，呈类圆形，边界清，回声强度与肾皮质相同，且皮质相互连续，肾盂无分离。最可能的超声提示为
   A. 左肾实性病灶，建议进一步检查
   B. 左肾实性病灶，考虑肾细胞癌，建议进一步检查
 ->C. 左肾局限性低回声区，考虑肾柱肥大，建议定期复查
   D. 左肾未见异常回声
   E. 左肾良性病灶

533. 女，18岁，因月经不来潮就诊。超声检查如图<img src="https://exam.mvwchina.com/upload/2016/12/d5df92ddba294b20b28e36ad6fb7a7ed.jpg "/>，最可能的诊断为
   A. 畸胎瘤
 ->B. 先天性无子宫
   C. 子宫肌瘤
   D. 双子宫
   E. 始基子宫

534. 患者，男，13岁，发现视力下降及突眼一个月，眼科超声检查示球后间隙正中沿视神经走行的椭圆形低回声，边界清晰，玻璃体暗区内视盘较正常隆起，视盘水肿，多考虑为
 ->A. 视神经胶质瘤
   B. 海绵状血管瘤
   C. 眼眶内皮样囊肿
   D. 眼眶恶性肿瘤
   E. 颈动脉-海绵窦瘘

535. 患儿，男，3岁。超声显示肝脏增大，形态失常，右叶可见一14 cm×16 cm大小的实性强回声团块，边界清楚，内回声不均匀，内可见强光团，后伴声影，最可能的诊断是
   A. 畸胎瘤
 ->B. 肝母细胞瘤
   C. 错构瘤
   D. 肝内血肿
   E. 肝肉瘤

536. 患者，63岁，行二尖瓣置换术后超声评价，哪种瓣膜有大量中心型反流属正常功能的瓣膜
   A. 球笼瓣膜
 ->B. Jude双叶瓣
   C. 单叶倾斜碟瓣
   D. 生物瓣
   E. 以上都不正确

537. 患者，男性，36岁，超声体检发现左肾病变，呈圆形，边界清晰，整齐光滑，直径1.0 cm，肿物内为无回声，后方回声明显增强。根据声像图特征，诊断是
 ->A. 肾囊肿
   B. 肾囊肿合并感染
   C. 肾囊肿合并出血
   D. 肾肿瘤
   E. 肾肿瘤合并出血

538. 患者女性，33岁，孕36周，取上腹部横切面可见两个较大囊泡，且相邻较近，羊水较多，最正确的诊断是
 ->A. 十二指肠闭锁
   B. 食管闭锁合并食管气管瘘
   C. 肛门闭锁
   D. 空肠闭锁
   E. 结肠闭锁

539. 女性，39岁。以气急、乏力，活动后晕厥就诊。超声诊断为肥厚型梗阻性心肌病，超声所见不包括
   A. 室间隔与左室后壁非对称性肥厚，两者比值＞1.3～1.5
   B. 增厚的室间隔心肌回声增强，呈“毛玻璃”样改变
   C. SAM征阳性
   D. 左室流出道狭窄，内径＜20 mm
 ->E. EPSS增大
解析：E峰间隔距离（EPSS）增大时左室明显扩大，左心衰竭的超声表现，在肥厚型心肌病中不应出现。

