1. 烧伤后引起气性坏疽的致病菌是
   A. 门腔分流术
   B. 远端脾-肾静脉分流术
   C. TIPS手术
   D. 肠腔静脉分流术
 ->E. 胃底周围血管离断术

874. 关于甲状腺的解剖特点，下列选项错误的是
   A. 位于甲状软骨下方、气管两旁，由两侧叶和峡部构成，峡部可发出一锥体叶
   B. 甲状腺悬韧带将甲状腺悬吊于环状软骨上，可随吞咽上下活动
   C. 甲状腺上下动脉间及其分支与咽喉部、气管、食管的动脉分支有广泛的吻合、沟通
 ->D. 甲状腺外层固有被膜，较厚，内膜包绕并固定甲状腺于气管和环状软骨上
   E. 甲状腺两叶由上、下动脉供血，再由上、中、下静脉汇入颈内静脉与无名静脉
解析：甲状腺由两层被膜包裹，内层为固有被膜，很薄，紧贴腺体并形成纤维束伸入到腺体实质内，又称真被膜。外层被膜包绕并固定甲状腺于气管和环状软骨上，又称假被膜或外科被膜。两层被膜间隙内有动脉和静脉网，此间隙内在左右两叶甲状腺的背侧附着4枚甲状旁腺。喉返神经行经假被膜之外，故甲状腺手术在假被膜内进行，可避免损伤喉返神经。

875. 腰椎结核伴右髂窝脓肿，检查时托马斯征（Thomas）阳性，说明
   A. 髋关节活动受限
   B. 右下肢有放射性痛
 ->C. 右侧髂腰肌受刺激
   D. 右股四头肌受刺激
   E. 臀大肌受刺激

876. 关于腹腔镜的手术操作注意事项，下列不正确的是
   A. 手术时须保持有效的气腹，腹内压应保持在12～15 cmH<sub>2</sub>O
   B. 腹腔镜与手术器械的方向应一致
   C. 一般来讲，穿刺孔间的距离应足够大，以免腹腔镜与手术器械相互干扰
 ->D. 主要操作套管之间应呈90°
   E. 手术器械以腹壁为支点，操作方向和常规手术相反

877. 手术中判断肠管已经坏死的表现，不包括
   A. 肠壁失去张力、无蠕动
   B. 肠管扩张，对刺激无收缩反应
   C. 肠壁已呈黑色或紫黑色并塌陷
   D. 相应的肠系膜终末小动脉无搏动
 ->E. 腹腔内血性腹水

878. 下列结肠损伤的造瘘方式中，正确的是
   A. 单腔造瘘术
   B. 双腔造瘘术
   C. 袢式造瘘术
   D. 以上都不是
 ->E. 以上都是

879. 绝经期前的ER阳性乳腺癌患者，内分泌治疗宜选用
   A. 促卵泡激素
   B. 促肾上腺糖皮质激素
 ->C. 三苯氧胺
   D. 己烯雌酚
   E. 芳香化酶抑制剂

880. 以下对肠息肉的概述中，错误的是
   A. 肠黏膜表面的局限性突起，只发生在结肠
 ->B. 腺瘤性息肉包括管状腺瘤、混合型腺瘤和绒毛状腺瘤三种，好发直肠、乙状结肠
   C. 错构瘤性息肉包括幼年性息肉和Peutz-Jeghers综合征，前者好发于直肠、结肠
   D. 增生性息肉是一种良性非肿瘤性疾病，老年人常见大多可自行消失
   E. 炎性息肉包括黏膜炎性增生或血吸虫卵性以及良性淋巴样息肉

881. 有关白线疝的临床特点，下列选项不正确的是
   A. 是经腹白线突出的疝，好发于剑突与脐之间的白线上
   B. 最常见的症状为上腹部疼痛，少数可伴有恶心、呕吐等消化道症状
   C. 腹壁疝块，直径一般2～4 cm，回纳后可触及白线上的缺损
   D. Litten征阳性
 ->E. 极易发生嵌顿，应积极手术治疗
解析：小的无症状的白线疝发生嵌顿的机会不大，可不予治疗。有明显临床症状而无手术禁忌者，可手术修补。

882. Peutz-Jeghers综合征又名黑斑息肉病，是一种常染色体显性遗传病，其临床特点，下列错误的是
   A. 表现全消化道多发性错构瘤性息肉，以小肠最多见
 ->B. 常见于口唇周围、口腔黏膜、手掌、足趾和手指色素沉着
   C. 病变范围局限，一经诊断，进行根治性手术
   D. 多于青春期开始发病，便血为最常见症状，有间歇性腹痛，可诱发肠套叠
   E. 膀胱、生殖器官的癌变危险性明显升高

883. 手术是治疗动脉瘤唯一有效的方法，下列术式中不采用的是
   A. 动脉瘤切除及血管重建术
   B. 动脉瘤切除和近远端结扎术或动脉瘤包裹术
   C. 囊状动脉瘤切线切除及动脉修补术
   D. 采用带覆膜内支架人工血管置人动脉瘤腔内修复
 ->E. 动脉移植术

884. 腹腔镜操作中引起脏器损伤最常见的原 因是
 ->A. 电刀损伤
   B. 分离损伤
   C. 撕剥损伤
   D. 钳夹损伤
   E. 牵拉损伤

885. 下列腹腔镜胆囊切除，分离胆囊管和胆囊动脉的方法，错误的是
   A. 显露Calot三角时，切忌把胆囊颈向上推，以免使胆囊管和胆总管呈一直线
   B. 显露Calot三角时，若胃部充气明显，可以放置胃管，改善手术视野
   C. 为避免损伤胆管，安全的方法是从近胆囊颈的地方分离胆囊管和胆囊动脉
 ->D. 为避免残留过长胆囊管，分离时须寻找胆囊管和胆总管的T形交界
   E. 切断胆囊管和胆囊动脉的顺序并无定论，视术中显露及操作难易程度而定

886. 下列哪种疾病与结肠癌关系最密切
   A. 回盲部结核
 ->B. 家族性结肠息肉病
   C. 溃疡性结肠炎
   D. 血吸虫性肉芽肿
   E. 克隆病
解析：家族性结肠息肉病易发生癌变。

887. 出现典型的Charcot三联征，对以下哪一种疾病具有诊断意义
   A. 急性化脓性门静脉炎
   B. 急性胰腺炎
   C. 原发性硬化性胆管炎
 ->D. 急性梗阻性化脓性胆管炎
   E. 急性化脓性胆囊炎

888. 下列胃、十二指肠溃疡的手术适应证中，错误的是
   A. 多年溃疡病史，症状加重，影响正常生活者
   B. 内科治疗无效或愈合后复发，穿透到十二指肠壁外或球后溃疡者
   C. 出现严重并发症：大出血、急性穿孔、瘢痕性幽门梗阻者
 ->D. 当地缺医少药，不能正规内科治疗或积极要求手术治疗者
   E. 胃巨大溃疡有恶变倾向或已恶变者

889. 关于烧伤焦痂切开减张的方法和目的，下列不正确的是
   A. 应有足够的深度和范围
 ->B. 硬膜外或腰麻下进行
   C. 可以防止颅内高压和脑水肿
   D. 可以改善肢体远端血运
   E. 胸部焦痂切开可以改善呼吸运动

890. 下列不需与股疝进行鉴别诊断的是
   A. 腹股沟斜疝
   B. 脂肪瘤或肿大的淋巴结
 ->C. 腹股沟直疝
   D. 大隐静脉曲张结节样膨大
   E. 髂腰部结核性脓肿

891. 关于机械性单纯性肠梗阻哪项是错误的
   A. 阵发性腹部绞痛
   B. 腹部压痛甚轻或无
   C. 腹痛的同时肠鸣音亢进
   D. 全身情况变化较轻且慢
 ->E. 不均匀腹胀
解析：机械性单纯性肠梗阻表现为全身情况变化较轻且慢，阵发性腹部绞痛，腹部压痛甚轻或无，肠鸣音亢进。

892. 下列静脉血管中，不属于门静脉系统的是
 ->A. 肝静脉
   B. 冠状静脉
   C. 脾静脉
   D. 肠系膜上静脉
   E. 肠系膜下静脉

893. 我国最常见的慢性胰腺炎原因为
   A. 酗酒
   B. 甲状旁腺功能亢进症
   C. 遗传
 ->D. 胆道结石
解析：慢性胰腺炎最常见原因在我国为胆道结石，在西方国家为酗酒。

894. 哪项不是甲状腺肿大的手术指征
   A. 继发甲状腺功能亢进（Plummer病）
   B. 胸骨后甲状腺肿
 ->C. 2 cm结节
   D. 怀疑结节有恶变
解析：单纯结节大小不是手术指征。

895. 有关单纯性甲状腺肿的手术适应证，下列选项错误的是
   A. 压迫气管、食管或喉返神经者
   B. 胸骨后甲状腺肿或巨大甲状腺肿影响工作生活者
 ->C. 20岁前的弥漫性甲状腺肿
   D. 结节性甲状腺肿继发功能亢进者
   E. 结节性甲状腺肿可疑恶变者

896. 不适合行脾切除术的脾脏疾病是
   A. 海绵状血管瘤、内皮瘤或脾动脉瘤
   B. 脾脓肿
   C. 脾肉瘤或淋巴瘤
   D. 游走脾出现剧烈腹痛
 ->E. 小型非寄生虫性脾囊肿

897. 癌肉瘤是
 ->A. 既有癌又有肉瘤的肿瘤
   B. 腺上皮发生的恶性肿瘤
   C. 色素细胞发生的恶性肿瘤
   D. 间叶组织发生的恶性肿瘤
   E. 鳞状上皮发生的恶性肿瘤
解析：癌肉瘤为上皮来源的癌与间叶来源的肉瘤的混合肿瘤。

898. 皮瓣修复电烧伤创面时，下列错误的是
 ->A. 深部组织损伤缺血严重伴感染者，最好选用随意型皮瓣覆盖
   B. 1周内的创面，可选用随意型皮瓣覆盖
   C. 足跟暴露创面，可做血管吻合的游离皮瓣覆盖
   D. 周边深Ⅱ度烧伤创面可游离植皮以减少皮瓣覆盖面积
   E. 暴露肌腱、关节、神经的创面最好选用轴型皮瓣甚至肌皮瓣覆盖

899. 关于慢性纤维性甲状腺炎的治疗，不宜采取的是
   A. 肾上腺皮质激素
 ->B. 放射性碘治疗
   C. 他莫昔芬（三苯氧胺）
   D. 甲状腺激素
   E. 手术解除压迫症状

900. 有关短肠综合征的治疗，以下不正确的是
   A. 应用全胃肠外营养（TPN）支持
 ->B. 经3个月治疗后仍不能在脱离TPN时，考虑手术
   C. 小肠倒置、肠管环形吻合、肠管延长、人工瓣膜、人工乳头
   D. 营养康复治疗
   E. 小肠移植

901. 有关细菌性肝脓肿的手术治疗，下列错误的是
   A. 胆道感染引起的肝脓肿，应同时引流胆道
   B. 脓肿向胸腔穿破者，应同时引流胸腔
   C. 源性肝脓肿，应同时治疗原发病灶
   D. 病程长、局限性的厚壁脓肿，可行肝叶切除
 ->E. 肝脓肿一经确诊，都应切开引流

902. 阑尾炎的主要致病菌是
   A. 葡萄球菌
   B. 链球菌
   C. 绿脓杆菌
   D. 伤寒杆菌
 ->E. 各种肠道内革兰阴性菌和厌氧菌
解析：阑尾炎的主要致病菌是肠道内的各种革兰氏阴性杆菌和厌氧菌。故E选项正确。

903. 临床上所说的电烧伤实际上是指
   A. 触电后易燃物引起的烧伤
   B. 电弧烧伤
   C. 接触性电烧伤
   D. 电损伤或电击伤
 ->E. 电弧烧伤和接触性电烧伤

904. 以下十二指肠血管压迫综合征的X线钡餐检查中，不可能出现的是
   A. 近端十二指肠扩张、拉长或有胃扩张
   B. 有明显的十二指肠逆蠕动，甚至逆流入胃
 ->C. 孤立胀大的肠袢，位置固定，不随时间而改变
   D. 远端十二指肠通过延迟，在2～4小时内不能从十二指肠排空
   E. 钡剂在十二指肠横部远侧脊柱中线处中断，呈整齐的斜行切迹

905. 有关颈段食管损伤的特点，下列不正确的是
   A. 涎液和食物从伤口流出，口服亚甲蓝可协助诊断
   B. 颈部疼痛、僵直，呕吐带血性的胃内容物
   C. 可导致颈部严重感染
   D. 重者发生化脓性纵隔炎
 ->E. 合并主支气管损伤可有呼吸困难

906. 关于齿状线的解剖特点，下列选项错误的是
   A. 齿状线以上是直肠上下动脉供应；齿状线以下是肛管动脉供应
   B. 齿状线以上直肠上静脉丛通过直肠上静脉回流入门静脉；齿状线以下直肠下静脉丛由肛管静脉回流入下腔静脉
   C. 齿状线以上是黏膜，由自主神经控制，无痛觉
 ->D. 齿状线以上的淋巴回流主要至腹股沟淋巴结
   E. 齿状线以下至肛缘为解剖性肛管，长3～4 cm

907. 下列甲状腺次全切除术后发生甲状腺危象的临床表现中，不正确的是
   A. 多发生在术后12～36小时内
 ->B. 进行性呼吸困难、发绀、颈部肿胀、切口渗血
   C. 高热、体温常大于39"C，大汗淋漓，皮肤潮红，脉快而弱
   D. 烦躁、谵妄，甚至昏迷
   E. 常伴呕吐、水样腹泻

908. 肠梗阻的四大共同表现为
   A. 腹痛、肠型、呕吐、便闭
 ->B. 便闭、呕吐、腹胀、腹痛
   C. 便闭、腹痛、腹胀、肠音亢进
   D. 便闭、腹痛、肠音减弱、腹胀
   E. 腹痛、便闭、肠型、腹胀
解析：肠梗阻的四大共同表现：便闭、呕吐、腹胀、腹痛。

909. 烧伤休克时，血液流变学的变化，不包括
   A. 红细胞聚集指数增加
   B. 血小板聚集指数增加
 ->C. 白细胞总数增高
   D. 全血黏度和纤维蛋白原含量异常增高
   E. 血液呈高凝状态

910. 肝外伤手术暂时性阻断肝门血流以控制出血，在常温下一般阻断时间不宜超过
 ->A. 30分钟
   B. 35分钟
   C. 40分钟
   D. 45分钟
   E. 50分钟
解析：肝外伤为了控制出血，尽快查明伤情，用手指或橡皮管阻断肝十二指肠韧带控制出血。常温下每次阻断时间不宜超过30分钟。肝硬化等病理情况时，阻断时间不超过15分钟。

911. 关于腹腔镜外科的应用准则，下列选项不正确的是
   A. 充分考虑切口创伤与手术本身内在创伤的比值
   B. 先选单纯切除或重建类手术，再选切除、重建并存类手术
   C. 手术指征的掌握应综合患者的病情及术者的临床技能
   D. 中转开腹只是手术方式由首选向次选的转变，并非手术治疗的失败
 ->E. 要考虑患者的利益，不考虑经济效益

912. 烧伤指数的计算公式为
   A. Ⅲ度烧伤面积+Ⅱ度烧伤面积
   B. Ⅲ度烧伤面积+1/2Ⅱ度烧伤面积
   C. Ⅲ度烧伤面积+2/3深Ⅱ度烧伤面积+1/3浅Ⅱ度烧伤面积
 ->D. B或C
   E. A或B或C

913. 关于胰腺假性囊肿的手术治疗，以下选项不正确的是
   A. 持续腹痛不能忍受，影响生活或囊肿≥6 cm，出现压迫症状者
   B. 囊肿合并感染或出血，时间短，壁薄不能做内引流者，经皮穿刺置管外引流
 ->C. 手术时机在1个月内较好
   D. 位于小网膜囊内的胃后胰腺假性囊肿，可直接与胃后壁吻合
   E. 其他部位囊肿，常用囊肿空肠Roux-en-39 Y吻合术

914. 阑尾类癌施行右半结肠切除术的适应证中，不包括
   A. 类癌直径＞2 cm
   B. 类癌位于阑尾根部并已侵及盲肠
   C. 类癌巳侵及阑尾系膜、回盲部肠壁
   D. 区域淋巴结肿大并快速活检证实有转移
 ->E. 急性阑尾炎术后病理诊断为类癌者

915. 胃溃疡大出血最主要的治疗方式是
   A. 奥美拉唑静脉滴注
 ->B. 胃大部切除术
   C. 三腔二囊管压迫
   D. 迷走神经干切断+半胃切除术
   E. 高选择性迷走神经切断术

916. 门静脉高压症需要与下列疾病鉴别的是
   A. 胆道出血
 ->B. 胃、十二指肠溃疡出血
   C. 大手术后应激性溃疡出血
   D. 脑外伤后应激性溃疡出血
   E. 烧伤后应激性溃疬出血

917. 肝泡型包虫病与哪些疾病需鉴别
   A. 阿米巴肝脓肿
   B. 细菌性肝脓肿
   C. 肝囊性包虫病
 ->D. 肝癌
   E. 肝硬变
解析：肝泡性包虫病似肝癌一样浸润性生长、转移或侵害周围脏器特点，临床有“寄生虫性肝癌”之称，影像学表现为肝占位性病变需要与不典型肝癌相鉴别。

918. 下列对血栓闭塞性脉管炎的保守治疗中，不正确的是
   A. 防止患肢外伤
   B. 局部保暖，但不宜过热
   C. 中西医药物治疗
 ->D. 加强步行功能锻炼
   E. 绝对禁烟

919. 多发性内分泌瘤综合征（MENS）中的Ⅰ型是指
   A. 为单侧或双侧肾上腺嗜铬细胞瘤，并有甲状旁腺亢进症
   B. 皮肤苔藓淀粉样变出现于甲状腺髓样癌之前
 ->C. 甲状旁腺、胰岛细胞及腺垂体同时出现的肿瘤
   D. 有多个内分泌腺发生肿瘤，引起复杂多变的内分泌综合征
   E. 由RET基因突变引起
解析：多发性内分泌腺瘤（multipleendocrineneoplasiasyndrome， MENS）是一组有明显家族倾向的显性遗传性疾病，特点为多个内分泌腺发生肿瘤，产生多种激素或激素样物质，引起内分泌综合征。目前，MENS分为三型：Ⅰ型为甲状旁腺、胰岛细胞及腺垂体同时出现的肿瘤，又称Wermer´s syndrome；Ⅱ型以甲状腺髓样癌、嗜铬细胞瘤、甲状旁腺功能亢进三者并存为特点、又称Sipple´s syndrome；HI型则以多发性神经瘤伴甲状腺髓样癌及（或）肾上腺嗜铬细胞瘤为特点，又称Khairi

920. 临床上导致小儿烧伤最常见的原因是
   A. 交通事故中烧伤
 ->B. 生活中意外烫伤
   C. 自然灾害时烧伤
   D. 医源性烫伤
   E. 火药爆炸事故

921. 腹腔镜胰腺手术的临床应用主要包括
   A. 胰腺恶性肿瘤的分期
   B. 姑息性治疗
   C. 胰腺肿瘤切除
   D. 胰腺假性囊肿引流
 ->E. 以上都是

922. 肝胆管结石合并重症急性化脓性胆管炎，经积极系统内科治疗48 h后病情加重，进一步处理应首选
   A. 更换抗生素，加强抗感染
 ->B. 经内镜放置胆道支架引流
   C. 急症开腹胆道引流手术
   D. 支持治疗后择期手术处理
   E. PTBD
解析：肝胆管结石合并重症急性化脓性胆管炎，经积极系统内科治疗48 h后病情加重，进一步处理应首选微创的经内镜放置胆道支架引流。

923. 关于溃疡性结肠炎的临床特点，下列选项错误的是
   A. 一种原因不明的大肠慢性炎性疾病，病变主要局限于大肠的黏膜层和黏膜下层
   B. 最常累及直肠和乙状结肠，少数可累及全结肠和回肠末端
 ->C. 病变多沿黏膜层和黏膜下层浸润，直至侵犯到浆膜外
   D. 主要表现为黏膜广泛充血、水肿、糜烂、出血和溃疡形成
   E. 除一般消化系统症状外，常有结节性红斑、关节炎、眼部病变等肠道外表现

924. 胰头癌伴梗阻性黄疸，手术中探查发现肿瘤切除困难，为消除黄疸，术式宜采取
   A. 胆囊十二指肠吻合术
   B. 胆总管十二指肠吻合术
 ->C. 胆总管空肠吻合术
   D. 胆总管T形管引流术
   E. 胆囊造瘘术

925. 以下对原发性肝癌的论述中，不正确的是
   A. 是指原发于肝实质细胞或胆管细胞的恶性肿瘤
   B. 乙型（HBV）与丙型（HCV）肝炎病毒与肝癌关系密切
 ->C. 纤维板层肝癌是肝细胞癌的常见类型，半数发生于肝右叶
   D. 组织细胞学类型分为肝细胞癌、胆管细胞癌和混合型三类
   E. 大体病理形态分为结节型、巨块型和弥漫型三型

926. 下列造血系统疾病中，不符合脾切除适应证的是
 ->A. 急性粒细胞白血病
   B. 遗传性球形红细胞增多症
   C. 多毛细胞白血病
   D. 丙酮酸激酶缺乏症
   E. 自体免疫性溶血性贫血

927. 下列选项中，不属于肝周纱布填塞适应证的是
   A. 右肝膈顶部不规则损伤或两侧肝叶广泛损伤，出血难以控制者
   B. 广泛包膜下血肿或肝包膜撕脱者
   C. 病情危重、大量输血导致凝血障碍，或疑有大的肝静脉损伤者
   D. 出血不能控制者，需转院治疗，作为权宜之措施
 ->E. 大出血虽控制，但局部仍有渗血者

928. 慢性淋巴细胞性甲状腺炎与淋巴细胞性甲状腺炎的区别，下列选项不正确的是
   A. 前者限于甲状腺内，后者向周围组织蔓延、侵犯、粘连
   B. 后者淋巴细胞浸润，不形成淋巴滤泡
   C. 前者淋巴细胞浸润，形成淋巴滤泡
 ->D. 后者甲状腺扫描为“冷结节”或“凉结节”
   E. 前者无显著纤维化及玻璃样变，质硬，而后者有

929. 下列原发性肝癌的转移特点中，错误的是
 ->A. 先肝外播散，后肝内转移
   B. 侵入肝静脉脉则可播散至肺、骨、肾上 腺、脑
   C. 通过淋巴转移到肝门淋巴结，左锁骨上淋巴结
   D. 侵犯膈、胃、结肠和网膜邻近器官组织
   E. 肝破裂腹膜种植

930. 直肠内脱垂最常用的检查方法是
   A. 肛门镜检
   B. 患者蹲下做排便动作
   C. 钡灌肠造影
   D. 直肠指诊
 ->E. 排粪造影

931. 非间叶组织来源的肿瘤是
   A. 骨肉瘤
   B. 血管肉瘤
 ->C. 精原细胞瘤
   D. 恶性纤维组织细胞瘤
   E. 平滑肌肉瘤
解析：来源于间叶组织的恶性肿瘤成为肉瘤，纤维组织亦属于间叶组织，但习惯上将其称为“瘤”，精原细胞不属于间叶组织，故选C。

932. 下列选项中，不能作为直肠指诊体位的是
   A. 膝胸位
   B. 蹲位
   C. 左侧卧位
 ->D. 俯卧位
   E. 膀胱截石位

933. 以下急性重症胰腺炎的诊断要点，不正确的是
   A. 弥漫性腹膜炎，腹胀明显，肠鸣音弱
   B. 血性或脓性腹水
   C. 伴有休克
 ->D. 白细胞降低
   E. 血糖＞11.l mmol/L，血钙＜1.87 mmoI/L

934. 突然呕血1500 ml并出现休克的患者，首先应
   A. 止血药物的应用
   B. 作中心静脉压测定
   C. 询问病史、体检并安排辅助检查找出血原因
 ->D. 快速输液输血支持
   E. 剖腹检查手术
解析：患者已出现休克表现，应首先抗休克治疗。止血药物并非抗休克的首选措施。故A选项错误。中心静脉压测定是生命体征检测内容之一，非抗休克治疗。故B选项错误。一味强调病史采集、体检和辅助检查，会延误患者抢救，反而提高患者死亡风险。正确的做法是在积极抗休克治疗的同时进行快速、有针对性的病史询问和体检，并准备相关辅助检查。故C选项错误。快速输液输血支持是抗休克治疗的首选措施。故D选项正确。剖腹检查手术并非抗休克治疗的首选措施。正确的做法是对于手术指征明确者，可在积极抗休克治疗同时准备手术。故E选项错误。

935. 肝原发性小肝癌的诊断标是指直径小于
   A. 2 cm
   B. 3 cm
   C. 4 cm
 ->D. 5 cm
   E. 6 cm
解析：原发性肝癌按肿瘤大小分类：微小肝癌（直径≤2 cm），小肝癌（＞2 cm，≤5 cm），大肝癌（＞5 cm，≤10 cm）和巨大肝癌（＞10 cm）。A选项是微小肝癌的划分点。B选项属于小肝癌的范围。C选项属于小肝癌的范围。各种介入性心脏操作都有可能选项是小肝癌的划分点因解剖结构特殊或操作不慎等原因导致心室、心房、心耳、管状静脉窦和冠状动脉穿孔或撕裂，继发心包积血或填塞。E选项属于大肝癌的范围。

936. 有关乳腺癌的病因，下列错误的是
 ->A. 营养不良、消瘦
   B. 乳腺小叶上皮高度增生或不典型增生
   C. 未婚，未育，晚育，未哺乳
   D. 月经初潮年龄早、绝经年龄晚
   E. 雌酮及雌二醇增高
解析：乳腺癌与营养过剩、肥胖、高脂饮食密切相关，因这些因素可加强或延长雌激素对乳腺上皮细胞的刺激，增加乳腺癌发病机会，故选项A错误。

937. 下列选项中，不符合痔的临床特点的是
   A. 外痔在没有发生血栓以前，不会出现剧痛
 ->B. 内痔出现静脉破裂可引起疼痛
   C. 是直肠末端黏膜下和肛管及肛缘皮下的静脉丛扩张迂曲形成的静脉团
   D. 齿状线是区分内、外痔的标志
   E. 混合痔具有内、外痔的症状和特征

938. 关于急性阑尾炎的手术适应证，下列选项不正确的是
   A. 急性单纯性阑尾炎保守治疗不理想，症状加重者
   B. 急性化脓性或坏疽性阑尾炎，发病急，症状重，伴寒战、高热者
   C. 急性阑尾炎穿孔并发局限性或弥漫性腹膜炎者
 ->D. 阑尾周围脓肿发病48小时以上，右下腹触及包块，中毒症状不重者
   E. 慢性阑尾炎急性发作者

939. 闭合性腹部伤在临床观察期间，下列做法错误的是
   A. 不随意搬动患者
 ->B. 应用镇痛药，减轻疼痛
   C. 禁食
   D. 禁用泻剂
   E. 禁灌肠
解析：腹部损伤诊断不明确，在临床观察期间，应禁食、禁用镇痛药、禁用泻药、禁灌肠。盲目使用止痛药易掩盖病情，不利于观察、判断病情的变化，可能造成不良后果。

940. 目前制约腹腔镜胃肠手术推广普及的主要原因，不包括
   A. 技术难度较大
   B. 手术时间长
 ->C. 患者依从性差
   D. 费用高
   E. 多数手术因标本较大而取出困难

941. 现代腹腔镜探查诊断术的主要应用，不包括
   A. 急腹症
 ->B. 腹部火器伤
   C. 腹部创伤
   D. 慢性腹痛
   E. 腹腔肿瘤

942. 下列对腹腔镜肝囊肿开窗术的概述中，不正确的是
   A. 肝内位置深在或贴近肝门部的囊肿为禁忌证
   B. 适用于肝表面的肝囊肿，直径＞5 cn以上者
   C. 开窗时尽可能在最低位，多切除囊壁
 ->D. 常见的并发症是出血
   E. 囊肿内液体含有胆汁，表明可能与胆道 相通，应中转开腹手术

943. 下列胃癌大出血的紧急处理中，错误的是
   A. 应尽早手术，肿瘤未发生远处转移者，行根治性胃大部切除或全胃切除
   B. 做好充分术前准备，纠正休克
 ->C. 体质消瘦者不宜行手术治疗
   D. 晚期肿瘤者，为达止血目的，力争施行姑息性胃癌切除术
   E. 晚期肿瘤不能耐受手术者，可采取介入放射学方法栓塞治疗

944. 下列选项中，不属于膈下脓肿病因的是
   A. 弥漫性腹膜炎
   B. 胃肠道手术后吻合口瘘
   C. 肝脓肿治疗不彻底
 ->D. 脾切除术后暴发性感染
   E. 胃穿孔术后冲洗不彻底

945. 腹部损伤的死亡率与下列因素无关的是
   A. 受伤及早期救治的时间
   B. 致伤原因
   C. 有无内脏损伤及合并伤
 ->D. 对创伤的耐受性
   E. 急救措施和治疗技术

946. 原发性肝癌有肝硬化时，肝切除范围不应超过
   A. 70%
 ->B. 50%
   C. 30%
   D. 20%
   E. 10%
解析：我国肝癌90%合并有慢性肝炎和肝硬化，规则性切除尤其是半肝以上的切除，由于切除的肝实质过多，会造成术后肝功能代偿不足，并发症和手术死亡增多，A选项切除的肝实质过多，B、C、D选项切除的肝实质在50%的范围内。

947. 关于下肢静脉的解剖特点，下列选项不正确的是
   A. 大隐静脉起自足背静脉网内侧，沿下肢内侧上行入股静脉，小隐静脉起自足背静脉网外侧入腘静脉
   B. 胫前后和腓静脉汇合成腘静脉，进入内收肌管成股浅静脉，与股深静脉汇成股总静脉
   C. 下肢深浅静脉、大小隐静脉间有交通静脉，小腿远侧浅深静脉壁比近侧薄，易发生曲张
 ->D. 小腿深浅静脉交通支中无静脉瓣膜
   E. 肢深浅静脉和交通静脉瓣膜为双瓣型，可阻止血液由近向远，由深向浅倒流

948. 慢性胆囊炎的诊断依据，下列不符合的是
   A. 十二指肠引流胆汁可能出现大量脓球
   B. 伴有胆囊结石
   C. 右上腹隐痛不适伴消化不良
   D. B超检查胆囊增大或缩小
 ->E. 脂肪泻

949. 以下对胆石症的概述中，错误的是
   A. 胆石症包括胆囊、肝内胆管和肝外胆管结石
   B. 胆囊结石成因与代谢因素、胆系感染、胆汁淤积、维生素A缺乏有关
   C. 胆管结石成因与胆囊结石下移、胆道感染、胆管狭窄、寄生虫感染有关
   D. 结石的成分分为胆固醇结石、胆色素结石和混合性结石
 ->E. 各部位结石在病因、临床表现、治疗方法上都有许多相同之处

950. 下列肛管及肛门周围的恶性肿瘤中，最常见的是
 ->A. 鳞癌
   B. 原位癌
   C. 恶性黑色素瘤
   D. 基底细胞癌
   E. 肛周Paget病

951. 原发性肝癌按肿瘤的大小分类，按新分类法，以下错误的是
 ->A. 原位肝癌，直径≤l cm
   B. 微小肝癌，直径≤2 cm
   C. 小肝癌，直径＞2 cm，≤5 cm’
   D. 大肝癌，直径＞5 cm，≤10 cm
   E. 巨大肝癌，直径＞10 cm

952. 下列阑尾类癌的临床特点中，错误的是
   A. 胃肠道类癌中最常见的一种，70%～90%的阑尾类癌＜l cm
 ->B. 主要在阑尾黏膜层生长，不会发生转移
   C. 临床无明显症状，常以急性阑尾炎在术中或术后发现，预后较其他部位类癌好
   D. 起源于Lieberkuhn隐窝的Kultschitzky细胞内颗粒对银具很强亲和力，能分泌5-羟色胺
   E. 多数为良性，肿瘤仅限于阑尾黏膜下层，无浆膜转移，恶性者直径＞2 cm

953. 现代腹腔镜外科正在经历的三部曲是
 ->A. 全腹腔镜式→腹腔镜辅助式→手助腹腔镜式
   B. 手助腹腔镜式→腹腔镜辅助式→全腹腔镜式
   C. 手助腹腔镜式→全腹腔镜式→腹腔镜辅助式
   D. 腹腔镜辅助式→全腹腔镜式→手助腹腔镜式
   E. 全腹腔镜式→手助腹腔镜式→腹腔镜辅助式

954. 乳房脓肿行切开引流术，下列选项错误的是
   A. 乳房脓肿应做放射状切口
   B. 乳晕下脓肿应沿乳晕做弧形切口
   C. 乳房深部脓肿或后脓肿沿乳房下缘做弧形切口
   D. 彻底清除脓液和腐败坏死组织，保证引流通畅
 ->E. 不要分离脓肿隔膜，以防扩散

955. 下列对大网膜粘连综合征的概述中，错误的是
   A. 可出现恶心、食后呕吐、腹胀、便秘、阵发性腹痛等症状
   B. 改变体位、蜷曲侧卧往往可以缓解
   C. 走路常呈弯腰状
 ->D. 手术效果欠佳时，应再次手术查找粘连部位
   E. 症状显著、病程长、明显影响健康和劳动者，可考虑手术治疗

956. 关于胃泌素瘤的手术治疗，下列错误的是
 ->A. 位于胰头部的肿瘤行Whipple手术
