1. 女性，60岁。腹痛、呕吐及肛门停止排气排便3天。查体：腹胀可见肠型，全腹有压痛。腹部X线片：肠管扩大，可见多个液平面。应选何种治疗
   A. 超声造影
 ->B. 胰腺薄层增强CT
   C. MRCP
   D. 细针穿刺活检
解析：胰腺薄层增强CT是目前诊断胰腺癌和判断胰腺癌可切除性的最常用检查手段。

593. 男性，20岁。外伤造成左侧鼻翼部分缺损，缺损位于内外鼻翼脚之间，最宽处约0.8 cm，最为理想的修复方法是
   A. 游离植皮
   B. 部分耳垂游离移植
   C. 鼻唇沟皮瓣移转
 ->D. 耳廓复合组织游离移植
   E. 额部岛状皮瓣

594. 男性，40岁。5年前因甲亢手术治疗，近年肝硬化腹胀，住院诊断为中度甲亢，其治疗应
   A. 抗甲亢药物治疗
 ->B. 同位素治疗
   C. 保肝利尿治疗后手术
   D. 手术治疗
   E. 保肝利尿同时抗甲亢药治疗

595. 男性，30岁。右侧三叉神经痛4年，曾两次行三叉神经封闭术，但效果不佳。近3个月来又出现患侧耳鸣。头颅CT检查发现右侧桥小脑角区有一直径约3 cm低密度占位，轮廓清楚，形状不规则。诊断考虑为
   A. 三叉神经鞘瘤
   B. 听神经瘤
   C. 脑膜瘤
 ->D. 表皮样囊肿
   E. 畸胎瘤

596. 男性，65岁。临床诊断为直肠癌。肥胖体型，长期吸烟史，高血压病史10年，药物控制良好。在全麻下行直肠癌根治术。术中输血800 ml，手术历时5小时。术后第8天拆线，第9天下床，在卫生间突然晕倒，心跳，呼吸骤停，救治无效死亡。死亡的最可能原因是
   A. 急性大面积心肌梗死
   B. 急性大面积脑梗死
 ->C. 急性肺梗死
   D. 急性颅内出血
   E. 阿-斯综合征发作

597. 女性，25岁，面部刀刺伤12小时，刀口长4 cm，深0.7 cm，最适当的治疗措施是
 ->A. 清创缝合
   B. 延期缝合
   C. 换药
   D. 理疗
   E. 热敷

598. 女性50岁。右乳癌根治术后上肢活动受限。护士指导其患侧肢体康复锻炼，应达到的目的是
   A. 手能摸到同侧耳朵
   B. 肩能平举
   C. 肘能屈伸
   D. 手摸到对侧肩部
 ->E. 手经头摸到对侧耳朵

599. 男性患者29岁，一年前因左肾、左输尿管及膀胱结核，行左肾和左输尿管切除术，手术后行抗结核治疗8个月。日前患者尿常规检查阴性，IVP显示右肾轻度积水，但患者尿频症状明显加重，原因是
   A. 结核引起的尿道综合征
   B. 膀胱结核未能控制
   C. 结核复发
   D. 合并有泌尿系统感染
 ->E. 膀胱挛缩

600. 男性，64岁。上腹隐痛不适1年，无规律，服抗酸药无效。3天前解黑便1次。近半年来体重下降6kg。目前，首先要做的检查是
   A. 上消化道造影
 ->B. 胃镜
   C. 上腹部CT
   D. 胃液分析
   E. 大便潜血试验

601. 女性，50岁。下蹲或腹部用力时，出现不由自主地流尿。诊断可初步考虑为
   A. 充盈性尿失禁
   B. 迫性尿失禁
   C. 反射性尿失禁
   D. 真性尿失禁
 ->E. 压力性尿失禁

602. 女性，43岁。头痛伴呕吐、双眼视物不清4个月。查体：神志清醒。视力：左眼前数指，右眼大致正常，眼底：左视盘边缘清，色淡，右视盘边缘不清、乳头隆起。诊断应考虑
   A. 视神经炎
   B. 多发性硬化
 ->C. 颅前窝肿瘤
   D. 枕叶肿瘤
   E. 颅后窝肿瘤

603. 男性，38岁。右下肢近腘窝处被刀刺伤1周。现出现搏动性肿块，逐渐增大伴右下肢麻木。查体：右下肢苍白，腘窝部搏动性肿块大小为5 cm×4 cm，附近有收缩期杂音。首先考虑的诊断是
   A. 动静脉瘘
   B. 腘动脉周围血肿
   C. 腘动脉分支出血
 ->D. 腘动脉假性动脉瘤
   E. 以上都不是

604. 男性，63岁。3年前曾作右腹股沟斜疝高位结扎+修补术，6个月前出现右腹股沟可复性肿块，诊断为复发疝，其最佳的手术方式是
   A. 单纯疝囊高位结扎术
   B. 疝囊高位结扎+Ferguson修补法
   C. 疝囊高位结扎+Bassini修补法
   D. 疝囊高位结扎+Halsted修补法
 ->E. 疝囊高位结扎+McVay修补法

605. 患者女，26岁，体重60kg。双上肢、躯干（包括会阴部）Ⅱ度烧伤。按国内通用补液公式，伤后第一个24小时补液总量=体重（kg）X烧伤面积（％）X1.5+2000 ml。第1个24小时的补液量应为
   A. 4050 ml
   B. 2050 ml
   C. 5050 ml
 ->D. 6050 ml
   E. 9050 ml

606. 女性，29岁。尿频，尿急，尿痛1年余，有终末血尿。尿常规检查：脓细胞（+++），红细胞（++），尿细菌培养阴性。IVU检查：右肾不显影，左肾上下盏均有虫蚀样改变，有轻度积水。血肌酐：98 μmol/L。诊断为双肾结核，该患者的治疗宜采取
   A. 抗结核治疗
   B. 左肾造口术
   C. 右肾切除术
   D. 右肾切除，左肾造口术
 ->E. 抗结核治疗后右肾切除术

607. 男性，56岁。因右腹股沟斜疝行手术治疗。手术中发现疝囊壁的一部分由盲肠构成，此时的诊断是
   A. 嵌顿性疝
   B. Littre疝
 ->C. 滑疝
   D. Richter疝
   E. 逆行性疝

608. 患者16岁，述感冒后腰痛，双下肢明显浮肿。尿蛋白定量为4.0 g/24h，RBC0～2个/HP，血浆白蛋白32 g/L，血肌酐130 μmol/L，其病理表现可能为
   A. 系膜毛细血管性肾小球肾炎
   B. 系膜毛细血管内肾小球肾炎
   C. IgA肾病
 ->D. 微小病变
   E. 局灶节段性硬化

609. 患者男，51岁，上腹部隐痛不适1年，近2个月来加剧。入院查体腹平坦，上腹有轻压痛，未触及肿物，大便潜血试验（+），上消化道造影检查显示胃窦部小弯侧黏膜纹理紊乱，胃壁僵硬，未见明显充盈缺损。该患者首先应考虑
   A. 慢性胃窦炎
   B. 胃溃疡
 ->C. 胃癌
   D. 胃黏膜脱垂
   E. 萎缩性胃炎

610. 患者男，26岁。突然上腹剧痛，不能直腰1小时就诊。查体：P 100次/分，BP 110/80 mmHg。急性痛苦面容。全腹压痛、反跳痛和肌紧张明显，以剑突下为甚，肝浊音界于右锁骨中线第5肋间消失，肠鸣音减弱。血常规检查：WBC 10.6×10<sup>9</sup>/L，N 86%，Hb 91 g/L。血、尿淀粉酶正常。对诊断有意义而又简单的检查方法首选
   A. 腹部CT
 ->B. 立位腹部X线平片
   C. 腹部B超
   D. 腹腔灌洗
   E. 腹部MRI
解析：突发上腹痛，弥漫性腹膜炎，肝浊音界缩小，应考虑上消化道穿孔的可能性大。血、尿淀粉酶正常，基本除外胰腺炎。腹部B超和CT对诊断胰腺炎和胆囊炎价值较大。腹腔灌洗只能帮助腹膜炎的诊断，不能做出病因诊断。腹部CT检查目前认为其比X线在诊断方面更具优势，但费用相对较高。因此，简单易行的选择是立位腹部X线平片。

611. 男性，37岁。突发意识障碍伴言语不能2小时。查体：嗜睡状态，失语，右侧肢体肌力4级，肌张力高。头颅CT检查：左侧颞顶叶脑内血肿。急诊行左颞顶开颅血肿清除术。术后1周行全脑血管造影提示左侧颞后动静脉畸形，大小约4 cm×5 cm×6 cm，引流入上矢状窦及大脑内静脉。此患者属于下列哪一级动静脉畸形
   A. Ⅰ级
   B. Ⅱ级
 ->C. Ⅴ级
   D. Ⅳ级
   E. Ⅲ级

612. 男性，45岁。因肝胆管结石而行PTC检查，术后6小时出现头晕、大汗。体检：心率120次/分，血压80/50 mmHg（10.7/6.7kPa），上腹压痛及轻度肌紧张，最可能的诊断是
 ->A. 术后大出血
   B. 术后胆瘘
   C. 过敏性休克
   D. 疼痛性休克
   E. 急性胆囊炎

613. 男性，23岁。大量饮水后右侧腰部明显胀痛，无尿频、尿急、尿痛以及肉眼血尿。B超检查：右肾盂中度积水，右输尿管上段不扩张，左肾、左输尿管以及膀胱未见异常。KUB+IVU检查：右肾中度积水，右侧输尿管不显影。逆行肾盂造影检查提示右肾中度积水，右侧盂管交界处狭窄。最合理的治疗方式为
   A. 右肾切除术
 ->B. 右侧盂管交界处整形术
   C. 右肾盂造瘘术
   D. 右肾、输尿管切除术
   E. 长期放置右侧输尿管支架管

614. 男性，34岁。临床诊断左侧脑胶质瘤，施行脑胶质瘤切除术后第2天，患者出现上腹隐痛不适感，随后突发呕新鲜血500 ml。既往无溃疡病和肝炎病史。诊断首先要考虑
   A. 胃溃疡出血
 ->B. 应激性溃疡
   C. 十二指肠溃疡出血
   D. 食管胃底静脉曲张破裂出血
   E. 出血性胃炎

615. 患者男，43岁。高压电击伤左上肢及左下肢。查体：烧伤面积为20%，肢体肿胀明显。应采取的紧急处理措施是
   A. 补液抗休克
   B. 镇静、止痛
 ->C. 切开减压、碱化尿液
   D. 清洁保护创面
   E. 创面纱布覆盖，休克好转后清创

616. 男性，58岁。因下肢静脉曲张行高位结扎及剥脱术，术后4小时因站立排尿，小腿部伤口处突然出血不止。紧急处理方法是
   A. 用止血带
   B. 于站立位包扎
   C. 钳夹结扎止血
   D. 指压止血
 ->E. 平卧抬高患肢，加压包扎

617. 女性，55岁。咳嗽、大笑时有尿液自尿道流出而不能控制2年，逐渐加重4个月。既往有多次生育史。最可能的尿失禁属于
   A. 充溢性尿失禁
   B. 急迫性尿失禁
 ->C. 压力性尿失禁
   D. 真性尿失禁
   E. 混合性尿失禁

618. 男性，34岁。发生右下胸部撞击伤3小时。检查：神志清，血压10/8.0kPa，心率110次/分，血红蛋白112 g/L，右侧腹压痛，有肌紧张及反跳痛。下列哪项处理最恰当
   A. 应用抗生素治疗
   B. 输血、输液并观察
   C. 密切观察，一旦血压下降，即剖腹探查
 ->D. 输血的同时，考虑立即剖腹探查
   E. 以上都不正确

619. 患者，男性，39岁。醉酒后于楼梯处摔伤1小时，腹痛、肉眼血尿入院。查体：BP100/60 mmHg，P100次/分，面色苍白，下腹部广泛压痛，并有肌紧张及反跳痛。B超示肝、脾正常，少量腹水。腹穿有淡红色液体。顺利留置尿管有少量血性尿液流出，色较淡。Hb120 g/L。对于该患者下列哪项检查对诊断下尿路损伤为首选
   A. CT
   B. B超
 ->C. 膀胱造影
   D. 尿道造影
   E. 膀胱镜检查

620. 男性，12岁。术中输血25 ml后，突然出现咳嗽，呼吸急促，随后神志不清，血压50/30 mmHg，心率124次/分，SpO<sub>2</sub>88%，考虑为输血过敏反应。应立即采取的紧急措施是
   A. 立即停止输血，暂停手术，面罩给氧并保持呼吸道通畅，静注氨茶碱
   B. 立即停止输血，暂停手术，面罩给氧并保持呼吸道通畅，静注异丙嗪
   C. 立即停止输血，暂停手术，面罩给氧并保持呼吸道通畅，静注糖皮质激素
   D. 立即停止输血，暂停手术，面罩给氧并保持呼吸道通畅，静注多巴胺
 ->E. 立即停止输血，暂停手术，面罩给氧并保持呼吸道通畅，静注肾上腺素

621. 患者男，36岁，1周前出现化脓性扁桃体炎，近1天突然出现左下颌下肿物、剧痛，伴高热，查体：体温39℃，左下颌下肿物，直径2 cm，红肿、压痛，中央可及波动感。考虑诊断是
 ->A. 急性化脓性淋巴结炎
   B. 口底化脓性蜂窝织炎
   C. 项痈
   D. 淋巴结结核
   E. 颈深部化脓性蜂窝织炎

622. 男性，45岁。右腰钝痛3年，未经诊治。2周前B超检查发现右肾区鹿角状结石，面积在400 mm<sup>2</sup>，轻度积水。肾图检查：右肾功能轻度受损。IVU检查：左肾正常，双输尿管正常。目前最适宜的治疗方法是
   A. 经皮肾镜碎石
 ->B. 体外冲击波碎石
   C. 肾切除术
   D. 肾盂切开取石
   E. 肾实质切开取石

623. 男性，45岁。左侧阴囊可复性包块6年。下列体征中，排除哪一项可诊断为左腹股沟斜疝
   A. 疝块进入阴囊
   B. 外环口扩大
   C. 咳嗽冲击感试验阳性
 ->D. 透光试验阳性
   E. 压迫内环试验阳性

624. 女性，17岁。5个月时被老鼠咬伤鼻部，导致鼻大半侧缺损，已超过中线及鼻尖。修复方案应考虑
   A. 鼻尖再造
   B. 半鼻再造
 ->C. 全鼻再造
   D. 局部皮瓣修复
   E. 游离植皮

625. 男性，28岁。无明显诱因突发呕血6小时，暗红色，量约400 ml。既往无肝炎病史。查体：生命体征平稳。上腹部轻压痛。Hb10 g/dl。最有助于诊断的急诊检查方法是
   A. 腹部B超
   B. 选择性腹腔动脉造影
   C. 上消化道气钡双重造影
 ->D. 纤维胃镜
   E. 腹部CT

626. 男性，35岁。稍长距离步行后感右小腿疼痛，肌肉抽搐而跛行，稍休息后症状消失。平时右足发凉，怕冷，有麻木感。查体：右足背动脉搏动减弱。根据患者症状、体征，诊断首先要考虑
   A. 血栓闭塞性脉管炎（营养障碍期）
   B. 深静脉血栓形成
   C. 血栓性静脉炎
 ->D. 血栓闭塞性脉管炎（局部缺血期）
   E. 动脉粥样硬化症

627. 患者女，25岁。足部浅Ⅱ度烫伤，并发创面感染，细菌培养为铜绿假单胞菌。创面用药首选
   A. 呋喃西林纱布湿敷
   B. 碘甘油
   C. 阿米卡星湿敷
   D. 涂抹湿润烧伤膏
 ->E. 磺胺嘧啶银霜剂涂布

628. 女性，47岁。反复发作右上腹疼痛半年，多为餐后发生，并向右肩部放射。检查：肥胖，血压110/80 mmHg，心率90次/分，右上腹轻度压痛，无腹肌紧张。此患者最可能的诊断是
   A. 高位急性阑尾炎
   B. 胆囊息肉
   C. 十二指肠溃疡
   D. 急性胃炎
 ->E. 慢性胆囊炎，胆石症

629. 男性，35岁。头部车祸撞伤1小时。查体：P64次/分，BP180/100 mmHg。明显躁动。左瞳孔5 mm，对光反应消失。头部CT检查示左额硬脑膜下血肿，血肿量约40 ml，中线明显向右移位。应立即采取的救治措施是
   A. 开颅清除血肿
 ->B. 开颅清除血肿及去骨瓣减压
   C. 脑室外引流
   D. 加大脱水药剂量
   E. 腰大池外引流

630. 患者男，39岁。临床诊断复合性溃疡，行入院式胃大部切除术（空肠近端对大弯、远端对小弯）后3个月，每进食5～30分钟即出现上腹饱胀不适，恶心、呕吐，腹泻、偶有腹绞痛，同时伴心慌、出汗、眩晕、面色苍白、乏力等症状。引起上述症状最可能的原因是
   A. 吻合口梗阻
   B. 输出袢梗阻
   C. 输入袢梗阻
 ->D. 倾倒综合征
   E. 低血糖综合征

631. 女性，20岁。行切开法重睑术后2个月，双侧上睑窝凹陷明显，最可能的原因是
   A. 感染
   B. 血肿机化
 ->C. 上睑眶隔脂肪去除过多
   D. 提上睑肌被切断
   E. 上睑皮肤缝合错位

632. 女性，37岁。突发头痛3小时。既往无高血压病史。头颅CT检查提示蛛网膜下腔出血。入院后予脱水、止血等治疗。脑血管造影提示：前交通动脉瘤。当前患者状态为：轻度头痛，轻度颈强直，根据Hunt和Hess分级患者属于
 ->A. Ⅰ级
   B. Ⅱ级
   C. Ⅲ级
   D. Ⅳ级
   E. Ⅴ级

633. 男性，70岁。右腹股沟区可复性包块4年，不能还纳，伴腹痛8小时。临床诊断右腹股沟斜疝并嵌顿。急诊手术，术中发现嵌顿段小肠色暗，无蠕动，行部分肠切除。此时，如果高位结扎疝囊的同时行疝修补术，则易导致修补失败，其主要的原因是
   A. 组织水肿，脆性增加
   B. 解剖关系不清，难以做到高位结扎
   C. 局部渗出，影响愈合
   D. 局部渗血，形成血肿
 ->E. 切口感染

634. 女性，32岁。乳腺癌根治切除术后，雌激素受体阳性，月经周期正常。采用内分泌治疗宜选用
   A. 促肾上腺皮质激素
   B. 卵泡刺激素
   C. 芳香化酶抑制剂
   D. 己烯雌酚
 ->E. 三苯氧胺

635. 男性病人，32岁，转移性右下腹痛1天，腹痛加重伴发热8小时，体温38.9°C。白细胞计数升高，全腹压痛反跳痛，以右下腹明显。最可能的原因是
   A. 急性胃十二指肠溃疡穿孔
 ->B. 急性阑尾炎穿孔
   C. 右输尿管结石伴泌尿系感染
   D. 急性小肠炎
   E. 急性化脓性胆囊炎

636. 男性，48岁。右腹股沟疝修补术后第5天，卧床，既往有脑血栓病史，体温38℃，右下肢皮温升高，自股部以下较左下肢明显增粗肿胀，无明显触痛。最可能的诊断是
   A. 切口感染
 ->B. 右下肢深静脉血栓
   C. 右下肢峰窝织炎
   D. 右下肢丹毒
   E. 右股动脉栓塞

637. 男性，65岁。间歇性无痛性血尿1年。B超检查：双肾未见异常，膀胱右侧壁有一3 cm×4 cm占位。在进一步询问病史和体格检查中，最重要的是
   A. 有无吸烟史
   B. 有无长期接触致癌物史
   C. 血尿是否伴血块
   D. 有无尿路刺激症状
 ->E. 直肠指诊

638. 男性，36岁。下眶壁外伤性骨折，经下睑睫毛下切口行修复术后1个月出现下睑轻度外翻，巩膜暴露2 mm。受伤时皮肤软组织无裂伤，颧骨无骨折。根据患者情况，应采取的治疗措施为
   A. 局部按摩
 ->B. 下睑外翻松解，游离皮片移植
   C. 外眦成形术
   D. 眼睑短缩术
   E. 颧骨截骨术

639. 患者男，19岁。腹部撞击伤4小时。查体：T 37.0℃，P 82次/分，R 12次/分，BP 120/75 mmHg。右中腹壁可见瘀斑，局部压痛明显，拒按。肠鸣音存在。实验室检查：WBC 6.5×109/L，N 68%，Hb 127 g/L，根据患者目前情况，可初步诊断为
   A. 腹腔内实质脏器包膜下血肿
   B. 空腔脏器浆膜下出血或浆肌层断裂
   C. 肠系膜血肿
 ->D. 单纯性腹壁损伤
   E. 腹膜后血肿
解析：患者腹部撞击伤后，撞击处压痛明显、拒按，貌似有腹腔内脏损伤、出血、穿孔等引起腹膜炎的可能，但患者腹部外伤已经4小时了，生命体征正常，实验室检查排除感染和贫血，腹腔肠鸣音正常，故考虑仅仅是腹壁损伤。

640. 患者男，38岁。阑尾切除术后5天。体温38.5℃，伤口疼痛，无红肿，压痛明显，轻度水肿。根据患者情况，应采取的措施是
   A. 更换广谱抗生素
 ->B. 拆除切口缝线，敞开伤口
   C. 切口诊断性穿刺
   D. 理疗
   E. 继续观察

641. 男性，53岁。上腹部隐痛不适1年，近2个月来加剧；入院查体腹平坦，上腹有轻压痛，未触及肿物，大便潜血试验（+），上消化道造影检查显示胃窦部小弯侧黏膜纹理紊乱，胃壁僵硬，未见明显充盈缺损。该患者首先应考虑
   A. 慢性胃窦炎
   B. 胃溃疡
 ->C. 胃癌
   D. 胃黏膜脱垂
   E. 萎缩性胃炎

642. 患者女，17岁。颈部刀割伤半个小时。查体：颈前部见一长约9 cm的横行切口，血凝块附着于伤口，可闻及呼吸声，呼吸困难，皮下可触及捻发音。首先要采取的紧急处理措施是
   A. 清创止血
   B. 缝合伤口，引流
   C. 吻合神经血管
   D. 局部压迫填塞
 ->E. 清理呼吸道，保持呼吸道通畅
解析：怀疑气管损伤时，应尽快清理呼吸道，保持呼吸道通畅，而不应盲目填塞伤口止血和缝合伤口、引流。

643. 患者男，65岁。右腹股沟可复性球形包块3年。查体：站立时右耻骨结节外上方可见一球形包块，未进入阴囊。平卧时可自行回纳，压迫腹股沟韧带中点上方2 cm处后站立时包块不再出现。首先考虑的诊断是
   A. 右侧股疝
   B. 右侧腹股沟直疝
 ->C. 右侧腹股沟斜疝
   D. 右侧精索鞘膜积液
   E. 交通性鞘膜积液

644. 男性，45岁。有慢性肝炎病史。近日呕血3次，约在1500 ml以上。查体：脉快，巩膜黄染，腹水征（+）。下列治疗措施中，不正确的是
   A. 输血
 ->B. 贲门周围血管离断术
   C. 护肝药物
   D. 补液
   E. 止血药物

645. 男性，24岁。今晨发热，4小时后出现肉眼血尿伴腹痛来诊。体格检查：血压120/80 mmHg。Hb130 g/L，血白细胞10.2×10<sup>9</sup>/L。尿蛋白（++++），沉渣RBC满视野（变形红细胞90%）。血ALT正常，Alb40 g/L，胆固醇4.0 mmol/L。IgA4.2 g/L，IgG10.4 g/L，C30.9 g/L。BUN6 mmol/L，Scr90 μmol/L。其诊断可能为
   A. 急性肾炎
   B. 急性肾盂肾炎
 ->C. IgA肾病
   D. 急进性肾炎
   E. 隐匿性肾小球肾炎

646. 男性，41岁。因腹股沟可复性肿物3年，突然脱出并伴剧痛10小时，无法还纳，而行急诊手术治疗，术中发现疝囊内肠管发黑，而行肠切除、吻合术后，对于疝的治疗正确的是行
 ->A. 单纯疝囊高位结扎术
   B. Ferguson法疝修补术
   C. McVay法疝修补术
   D. Halsted法疝修补术
   E. Bassini法疝修补术

647. 患者男，40岁，右上腹痛，发热3天，体温38.5℃～39.5℃，入院前突然呕血，量约600 ml，巩膜轻度黄染，肝区叩击痛明显，半月前曾行钡餐造影，食管、胃、十二指肠均阴性，病因最大可能是
   A. 十二指肠溃疡出血
   B. 出血性胃炎
 ->C. 胆道出血
   D. 小肠部肿瘤
   E. 肝门脉高压症

648. 男性，63岁。上腹隐痛不适已1年，无规律，服抗酸药无效，3天前黑便1次。半年来，体重下降6kg。为确诊首选何种检查方法
   A. 上消化道造影
 ->B. 胃镜
   C. CT
   D. B超
   E. 便潜血试验

649. 女性，30岁。右侧肢体乏力，伴头痛和语言笨拙6个月。查体：眼底视乳头水肿。右上、下肢肌力4级，左下肢病理征（+）。CT检查可见颅内一低密度病灶，周围无水肿，增强后不均匀强化。临床诊断为星形细胞瘤。术后复查CT肿瘤缩小65%。疗效评价为
   A. 显效
 ->B. 有效
   C. 微效
   D. 无变化
   E. 以上都不是

650. 女性，43岁。1周前发现右乳外上象限结节，直径约1.5 cm，较硬，活动，无压痛，两侧乳腺对称，乳头及皮肤无特殊，两侧腋下均触及一直径0.8 cm、光滑、活动的淋巴结，患乳无炎症或创伤史，X线检查发现患乳有细小钙化点。最可能的诊断是
   A. 乳腺囊性增生病
   B. 乳腺纤维瘤
 ->C. 乳腺癌
   D. 乳房结核
   E. 乳管内乳头状瘤

651. 男性，50岁，胃窦部巨大溃疡直径达2 cm，经药物治疗6周后，拟行手术，首选手术方式是
 ->A. 胃大部切除毕Ⅰ式吻合
   B. 胃大部切除毕Ⅱ式吻合
   C. 高选择性迷走神经切断术
   D. 全胃切除术
   E. 胃楔形切除术

652. 患者男，30岁。腹部挤压伤6小时。查体：T<sub>3</sub>7.2℃，P88次/分，R12次/分，BP110/80 mmHg。一般情况尚好。腹部有压痛，无反跳痛，肠鸣音存在。目前不宜采取的处理措施是
   A. 腹部X线平片及B超检查
   B. 实验室检查血尿常规和淀粉酶，必要时行诊断性腹腔穿刺
   C. 密切观察腹部体征及生命体征变化
   D. 禁食、输液
 ->E. 急诊施行剖腹探查术

653. 女性，43岁。右下肢静脉曲张15年，长时间站立有酸胀感，近2年右小腿胫前皮肤颜色加深，可凹陷水肿，Trendelenburg试验（+），Perthes试验（-），诊断可能是
 ->A. 单纯性下肢静脉曲张
   B. 原发性下肢深静脉瓣膜功能不全
   C. 下肢深静脉血栓形成
   D. 动静脉瘘
   E. 血栓性浅静脉炎

654. 男性，50岁。发现手掌皮下结节2年余，无痛痒，晨起有僵硬感，随后出现素带，延至手指，患指屈曲挛缩。最可能的临床诊断是
   A. 皮下囊肿
   B. 脂肪瘤
   C. 手掌瘢痕挛缩畸形
 ->D. 掌腱膜挛缩症
   E. 腱鞘炎

655. 女性，34岁。因急性阑尾炎行手术治疗，术中发现阑尾穿孔，手术应注意
 ->A. 引流腹腔
   B. 冲洗腹腔
   C. 探查末端回肠
   D. 探查右附件
   E. 局部用抗生素

656. 男性，15岁。右下腹痛5天，伴发热3天入院。查体：右下腹可触及3 cm×3 cm包块，初步诊断为
   A. 急性肠梗阻
   B. 盲肠癌
   C. 肠结核
 ->D. 阑尾周围脓肿
   E. 克罗恩病

657. 男性，30岁，尿蛋白阳性3年，BP：130/70 mmHg，尿蛋白定量4 g/24h，尿潜血（++），肾脏病理：系膜细胞和基质重度增生，部分毛细血管狭窄，间质淋巴细胞浸润，部分小管萎缩、纤维化，下列哪种治疗方案最恰当
   A. 强的松治疗
 ->B. 强的松治疗+细胞毒类药物
   C. 强的松治疗+ACEI
   D. 抗凝+ACEI
   E. 强的松治疗+抗凝

658. 男性，40岁。1个月前行左肾切开取石术。现左侧腰痛伴畏寒、高热，腰无法伸直。尿液检查：蛋白少量，白细胞少许。行X线腹平片检查可出现的影像学特征是
   A. 脊柱凸向右侧
   B. 右侧腰大肌阴影模糊
   C. 右侧横膈活动受限
   D. 脊柱凸向左侧
 ->E. 左肾轮廓不清

659. 女性，65岁。畏寒、发热（40℃）伴腰痛、尿频、尿急、尿痛1周。1天来出现意识淡漠，四肢厥冷，尿量正常，血压75/45 mmHg，尿沉渣可见白细胞管型及成堆脓细胞。根据病史、临床表现及体征，其诊断可能为
   A. 急性膀胱炎
   B. 急性肾盂肾炎
   C. 慢性肾盂肾炎急性发作
 ->D. 急性肾盂肾炎伴革兰阴性杆菌败血症
   E. 急性肾盂肾炎伴肾乳头坏死

660. 男性，65岁。反复发作性右侧肢体偏瘫，伴言语不能7个月。每次发作6～13小时后又恢复正常。头颅CT（-）。临床诊断应考虑为
   A. 进展性卒中
   B. 脑血管痉挛
 ->C. 短暂性脑缺血发作（TIA）
   D. 可逆性缺血性神经功能缺失
   E. 完全性卒中

661. 男性，50岁。上消化道大出血入院。既往有乙肝病史20年。急诊胃镜检查，诊断为食管静脉曲张破裂出血。实验室检查：胆红素40 μmol/L，白蛋白30 g/L，腹腔少量积液。营养良好。如急诊手术，首选的术式是
 ->A. 脾切除，贲门周围血管离断术
   B. 脾切除
   C. 门腔分流术
   D. 脾肾静脉分流术
   E. 门体静脉分流术

662. 患者男，30岁。电击伤右腕部。查体：右腕屈侧5.0 cm×5.0 cm大小创面，屈指浅肌腱外露。创面处理的方法宜采用
   A. 全厚皮片移植修复
   B. 刃厚皮片移植修复
   C. 中厚皮片移植修复
 ->D. 皮瓣移植修复
   E. 超薄皮片移植修复

663. 女性，27岁。妊娠5个月，一般情况较差，既往患有先天性心脏病，应采用何种方法治疗单纯性下肢浅静脉曲张
 ->A. 弹力袜压迫治疗
   B. 大隐静脉高位结扎，剥脱主干，结扎交通支
   C. 硬化剂注射和压迫治疗
   D. 口服药物治疗
   E. 以上都对

664. 女性，38岁。尿频尿急，尿痛半年余。抗感染治疗不见好转。IVU检查：右肾不显影，左肾功能良好。尿常规：白细胞满视野，红细胞10～20个/HP。右肾穿刺造影可见广泛破坏灶，肾盂肾盏严重积水扩张。临床诊断右肾结核。外科治疗最好采取
   A. 继续抗结核治疗
   B. 右肾切除术
   C. 全身支持疗法+抗结核治疗
   D. 术前抗结核治疗+右肾切除术
 ->E. 术前抗结核治疗+右肾切除术+术后抗结核治疗

665. 女性，32岁，进行性膀胱刺激症状，经抗生素治疗不见好转，且伴有右侧腰部胀痛及午后潮热。尿液检查对诊断有决定性意义的是
   A. 血尿
   B. 脓尿
   C. 尿普通细菌培养
 ->D. 尿沉渣找结核分枝杆菌
   E. 尿细胞学检查

666. 男性，38岁。煤气烧伤头颈及双上肢，深Ⅱ度，伴有中度吸入性损伤。其烧伤的严重程度为
   A. 中度烧伤
 ->B. 重度烧伤
   C. 轻度烧伤
   D. 特重度烧伤
   E. 中、重度烧伤

667. 男性，34岁。计算机工程师，近期感觉久坐后下肢沉重酸胀，容易疲劳。护士指导其在工作期间定时站立，活动下肢，以促进下肢血液循环，其原理是利用
 ->A. 小腿肌泵收缩功能
   B. 胸腔吸气期负压
   C. 心脏舒张期负压
   D. 静脉瓣膜向心单向开放
   E. 地心对血柱的吸引力

668. 男性，38岁。发现腹壁包块2个月。查体：右上腹部皮下可触及一直径约2.5 cm包块，质硬，表面光滑，边界清，与皮肤无粘连，可活动，无触痛。诊断首先考虑
   A. 皮样囊肿
   B. 脂肪瘤
   C. 皮脂腺囊肿
 ->D. 纤维瘤
   E. 表皮样囊肿

669. 患者男，28岁。无明显诱因突发呕血6小时，暗红色，量约400 ml。既往无肝炎病史。查体：生命体征平稳。上腹部轻压痛。Hb 100 g/L。最有助于诊断的急诊检查方法是
   A. 腹部B超
   B. 选择性腹腔动脉造影
   C. 上消化道气钡双重造影
 ->D. 纤维胃镜
   E. 腹部CT
