1. 患者，张某，女，32岁，因发现同房后出血3月就诊，行TCT检查示：LSIL，此患者进一步应行何种检查以确诊
   A. 增生期早期
   B. 增生期晚期
 ->C. 分泌期早期
   D. 分泌期中期
   E. 分泌期晚期

500. 患者，妊娠40周，规律性腹痛20小时，破膜6小时，宫底剑下1指，母体腹部右下方触及圆而硬的胎头，胎心位于脐耻之间，手脱出于阴道外口，右肩已入阴道内骶岬前方，胎位最正确的诊断是
   A. 肩右前位
 ->B. 肩右后位
   C. 肩右横位
   D. 肩左前位
   E. 肩左后位

501. 对于不全流产的女性，一经确诊，护士需立即准备的是
   A. 嘱孕妇休息
 ->B. 及时做好清除宫内残留组织的准备
   C. 减少刺激
   D. 加强心理护理，增强保胎信心
   E. 继续监测胚胎发育情况

502. 患者32岁，停经48天后，下腹部隐痛半月余，其后阴道持续少量出血3天多，右侧附件触及鸡蛋大韧性包块，考虑为
   A. 卵巢囊肿
   B. 子宫肌瘤
 ->C. 陈旧性宫外孕
   D. 妊娠黄体
   E. 子宫内膜异位症

503. 女性，23岁，孕6周，查体发现HSV-2感染，下列叙述不恰当的是
   A. 妊娠早期HSV可经胎盘感染胎儿
   B. 引起流产、胎儿畸形，如小头畸形、小眼球畸形、视网膜发育不全等
   C. 妊娠早期HSV，流产率极高
 ->D. 继续妊娠至足月选择剖宫产分娩
   E. 此患者应终止妊娠
解析：妊娠期感染HSV-2后，可发生病毒血症，导致流产、死产、胎儿畸形，早期应建议患者终止妊娠。

504. 女，36岁，初产妇，大畸形筛查B超探查见不到圆形颅骨光环，头端有不规则“瘤结”。腹部扪诊时，胎头较小。最有可能的胎儿畸形是
 ->A. 无脑儿
   B. 唇腭裂
   C. 先天性心脏病
   D. 21-三体综合征
   E. 腹裂

505. 初孕妇，25岁，40周妊娠，无宫缩，主诉胎动消失1天。 以下检查哪项是错误的
   A. 脐血流收缩期最高振幅/舒张末期振幅（S/D）比值测定
   B. B型超声生物物理评分
   C. NST
   D. OCT
 ->E. 胎儿镜检查

506. 孕妇37岁，G<sub>1</sub>P<sub>0</sub>，孕16周来遗传咨询门诊就诊。查体：宫底脐下一横指，胎心率140 bpm。孕12周时超声测量NT 0.1 cm，其他相关检查结果均正常。请问应建议孕妇进行下列哪项检查
   A. 血清学筛查
   B. 基于孕妇外周血胎儿游离DNA的筛查
 ->C. 羊膜腔穿刺术
   D. 系统胎儿超声检查
   E. 以上都不是

507. 女性，60岁，绝经7年，顽固外阴痒2年，应用中草药汤熏洗后，效果一般，查体见大、小阴唇均萎缩，大阴唇表面局部呈苔藓样变并局部破溃，下一步需要检查是
   A. 氟轻松软膏治疗性诊断
   B. 破溃处分泌物细菌培养
   C. 阴道分泌物检查
 ->D. 外阴染色+活检
   E. 破溃处刮片镜检

508. 孕妇，29岁， G<sub>1</sub>P<sub>0</sub>，37周妊娠，有妊娠期糖尿病，胎心率 140次/分，产前监护做NST无反应。应首先采用下列哪项处理为宜
 ->A. 立即做B型超声生物物理评分
   B. 立即做OCT
   C. 行人工破膜术，了解羊水性状
   D. 立即行剖宫产术
   E. 3天后复查NST

509. 初产妇，24岁，孕28周。因合并再障性贫血行依沙吖啶引产，胎盘娩出后持续阴道流血，有血凝块，此时处理不恰当的是
   A. 检查胎盘胎膜是否完整
   B. 输液、输血、输血小板
   C. 静滴缩宫素加强宫缩
 ->D. 立即行子宫次全切除术
   E. 检查软产道有无裂伤
解析：该产妇为初产妇，有生育要求，应在出血早期应用药物及输血改善凝血功能，只有当出血难以控制且危及产妇生命时，根据具体情况选择子宫切除。

510. 女性22岁，孕0产0，有不洁性生活史。因阴道脓性分泌物3天就诊。查体发现宫颈充血、水肿、触血（+），宫颈口大量脓性分泌物。初步诊断为急性宫颈炎，其最常见的病原体是
 ->A. 淋病奈瑟菌
   B. 金黄色葡萄球菌
   C. 厌氧菌
   D. 溶血性链球菌
   E. 大肠埃希菌

511. 女，28岁，初产妇，无特殊家族史，早期唐氏综合征筛查最佳孕周为
   A. 8～10<sup>+6</sup>周
 ->B. 11～13<sup>+6</sup>周
   C. 14～16<sup>+6</sup>周
   D. 17～20<sup>+6</sup>周
   E. 21～24周

512. 女性生殖器结核病理正确的是
 ->A. 输卵管结核占多数，双侧性居多
   B. 输卵管结核常由子宫内膜结核蔓延而来
   C. 卵巢结核常侵犯卵巢深层
   D. 宫颈结核较多见，与早期宫颈癌难鉴别
   E. 盆腔腹膜结核多合并子宫内膜结核

513. 女，67岁。绝经18年，近两年白带增多，时而呈血性，最近半年来反复阴道少量出血，色红，不伴腹痛。妇科检查：宫颈光滑，子宫正常大小，未见明显萎缩，附件（-），对此病例首先考虑
   A. 老年性阴道炎
   B. 子宫内膜炎
 ->C. 子宫内膜癌
   D. 颗粒细胞瘤
   E. 子宫颈管癌

514. 女，38岁，孕2产1，1余年前因葡萄胎行清宫术，现在阴道不规则出血3个月，伴有咳嗽。妇科检查见子宫稍大，质软。辅助检查，HCG＞10 000 mIU/ml，CT见双肺下野大小不等结节影，目前首选治疗方法是：
   A. 放疗
   B. 全子宫切除
 ->C. 化疗
   D. 化疗+全子宫切除
   E. 化疗+放疗

515. 女性，32岁，孕6个月余，产前检查时，发现其有梅毒螺旋体感染。对此感染，下面哪一项是不恰当的
   A. 孕妇患早期梅毒时可通过胎盘传给胎儿
   B. 早期主要表现为皮肤损害，晚期能侵犯心血管、神经系统等重要脏器
   C. 未经治疗的一、二期梅毒，胎儿的感染率几乎达100%
 ->D. 梅毒螺旋体抗原血清实验是梅毒常规筛查方法
   E. 妊娠合并梅毒引起死胎、早产与胎盘病变有关
解析：非梅毒螺旋体抗原血清实验是梅毒常规筛查方法。

516. 女性，30岁，自然流产2次，近1年月经周期为21天，经期6天，经量不多，BBT双相，查体及超声未见明显异常。此患者属于下述哪项
 ->A. 黄体功能不足
   B. 黄体萎缩不全
   C. 黄体功能正常
   D. 无排卵
   E. 以上均不对

517. 妇女，35岁，G<sub>2</sub>P<sub>1</sub>，经期延长，经量增多半年，经期长达9～10日，出血量多，淋漓数日方止，月经周期正常，B超检查子宫、附件正常。该患者于月经期诊断性刮宫可见
   A. 分泌反应落后2日
   B. 呈增殖期样反应
   C. 呈单纯性增生样
 ->D. 呈分泌期与增殖期内膜并存
   E. 呈蜕膜样变

518. 女，25岁，自然流产后1周，发热伴下腹痛2天，仍有少量阴道出血，脓血性伴异味，查体：T：37℃，下腹压痛，子宫略大而有压痛（+），宫颈举痛（+），WBC1.2×10<sup>9</sup>/L，N：89%。最可能的诊断是
 ->A. 急性盆腔炎
   B. 急性阑尾炎
   C. 宫外孕
   D. 阴道炎
   E. 急性膀胱炎

519. 产妇，32岁，G<sub>3</sub>P<sub>0</sub>，以往月经规律，因停经43周入院待产。检查：血压120/80 mmHg，宫高35 cm，胎位LOA，胎心130次/分，下列哪项表示胎盘功能减退
   A. 12小时胎动次数＜20次
   B. B超羊水池最大直径＜3 cm
   C. 尿雌激素/肌酐比值测定＜15
   D. NST试验有反应型
 ->E. OCT试验胎心率出现连续晚期减速

520. 女性，25岁，孕24周，产前检查时，发现其有生殖道沙眼衣原体感染，对此感染，下面哪一项是恰当的
   A. 衣原体感染是性传播疾病中较少见的一类疾病
   B. 沙眼衣原体感染可引起胎儿畸形，必须终止妊娠
   C. 沙眼衣原体感染临床症状明显，诊断并不困难
 ->D. 为预防新生儿感染，在妊娠期间必须积极治疗
   E. 药物对胎儿有不利影响，孕期暂不治疗

521. 患者女性，10岁，尚未行经。5天前无明显诱因出现发热，体温最高38.5℃，伴间断腹胀。查体扪及下腹包块，超声：子宫左侧不均质低回声团，大小约7.2 cm×6.7 cm，血供丰富。盆腔CT：盆腔巨大占位，大小约80 mm×62 mm。子宫体积较小，被挤压至右上方，子宫与肿瘤边缘模糊不清，盆腔内未见明显增大淋巴结。查AFP：1800 ng/ml，CEA：13 ng/ml，CA199：21 ng/ml，CA125：20 ng/ml，HCG：0.1 U/L。上述病例最可能的诊断是
   A. 子宫肌瘤
   B. 卵巢上皮癌
   C. 盆腔脓肿
 ->D. 卵巢恶性生殖细胞肿瘤
   E. 卵巢性索间质肿瘤

522. 孕妇，32岁，G<sub>3</sub>P<sub>0</sub>，34周妊娠，以往曾有2次人工流产史。因少量阴道流血做B型超声波检查，提示完全性前置胎盘。 目前有宫缩持续20~25 s，间歇6~7 min，强度中等。应立刻采取哪项措施
   A. 行剖宫产术
   B. 输血
   C. 人工破膜术
   D. 行宫颈缝合术
 ->E. 应用子宫收缩抑制剂

523. 女性，29岁。已服避孕药5个月，最初3个月月经来潮时间及量均正常，近2个月在经前5～7天，未停药前开始有少量阴道出血，持续至月经来潮。恰当的处理是
   A. 改用其他方法避孕
   B. 提前停药
   C. 加服炔雌醇
 ->D. 加服1/2～1片避孕药
   E. 用抗生素防治感染

524. 孕妇，24岁，G<sub>1</sub>P<sub>1</sub>，36周妊娠，“先兆子痫”入院。入院后 2天，经治疗血压持续在21.95/15.96 kPa（165/120 mmHg），感视物模糊，现自数胎动减少，做NST为无反应型，再作B型超声生物物理评分为4分。下列哪项处理正确
 ->A. 立即终止妊娠
   B. 继续治疗妊娠高血压综合征至妊娠37周
   C. 次日复查NST
   D. 吸氧观察
   E. 做OCT尿雌激素与肌酐的比值（E/C）  C，羊水脂肪细胞出现率

525. 女性，26岁。人工流产术后半年，阴道不规则出血，近1个月开始厌食、恶心、肝区痛，肝脏超声，见多个异常回声，血HCG明显增高，诊断为绒癌肝转移，其分期为
   A. Ⅰ期
   B. Ⅱa期
   C. Ⅱb期
   D. Ⅲ期
 ->E. Ⅳ期

526. 患者，女，29岁，孕50天，人工流产术后8天，下腹痛，阴道流血未止，量中等，有异味，体温38℃，血象：白细胞1.5×10<sup>9</sup>/L，中性0.9，Hb100g/L。妇科检查：阴道内血性分泌物有臭味，宫体略大，触痛明显，附件压痛。下列何项为该妇女的最可能诊断
   A. 难免流产
   B. 不全流产
 ->C. 流产继发感染
   D. 宫外孕继发感染
   E. 急性盆腔炎

527. 女性，23岁，停经3个月，阴道流血2周，妇查子宫15周妊娠大，阴道前壁，尿道外口右下方可见2 cm×2 cm紫蓝草莓样结节，宫旁无异常。B超屏显“落雪样”声像，临床诊断为侵蚀性葡萄胎，其解剖学分期为
   A. Ⅰ期
 ->B. Ⅱ期
   C. Ⅲ期
   D. Ⅳ期
   E. 0期

528. 女性，13岁。周期性下腹痛半年余，小便困难1周，B超检查发现盆腔包块，无月经来潮。最可能的诊断是
   A. 卵巢肿瘤蒂扭转
   B. 痛经
   C. 卵巢子宫内膜异位症
 ->D. 处女膜闭锁
   E. 子宫肌瘤

529. 产妇，31岁，G<sub>3</sub>P<sub>0</sub>，37周妊娠。B型超声检查提示完全性前置胎盘，行剖宫产术。术中胎盘娩出后，宫腔内不断有血液溢出，此时出血量达800 ml。宫体注射缩宫素及马来酸麦角新碱后，宫腔内仍有血液溢出，血压11.97/7.98 kPa（90/60 mmHg）。 此时紧急处理方法以下列哪项为宜
   A. 行子宫切除术
   B. 输血
   C. 止血药物
   D. 缩宫素静脉滴注
 ->E. 宫腔填塞纱布

530. 女性，25岁，已婚，阴道分泌物增多1周，伴臭味，查体分泌物稀薄、黄绿色，宫颈有出血点，呈“草莓样”。生理盐水悬滴法查到阴道毛滴虫。下列治疗正确的是
 ->A. 口服甲硝唑
   B. 口服氟康唑
   C. 局部应用甲硝唑
   D. 阴道应用替硝唑
   E. 阴道应用硝酸咪康唑

531. 正常妇女，现33周妊娠，行心电图检查可以出现
   A. 房颤
   B. 房扑
   C. Ⅱ度房室传导阻滞
 ->D. 期前收缩
   E. 显著的ST段及T波改变

532. 女性，45岁，G<sub>4</sub>P<sub>1</sub>，月经量多2年，伴痛经，需服止痛药物，妇科检查：子宫前位，均匀增大如孕8周大小，较硬，活动；左侧附件还可触及6cm囊性包块，活动差，后陷凹有大小不等硬结。下列叙述不正确的是
 ->A. 子宫腺肌病并内膜异位症罕见
   B. 子宫腺肌病合并子宫肌瘤多见
   C. 多次刮宫可引起子宫腺肌病
   D. 本例应手术治疗
   E. 人工流产有增加内膜异位症发病机会的可能

533. 女性，30岁，停经56天，B超提示宫内单胎妊娠，近1周来恶心呕吐，无法进食，无腹痛、腹泻，无阴道流血、流液，测尿酮体（+++），应考虑的诊断
   A. 急性胃肠炎
   B. 葡萄胎
   C. 消化性溃疡
   D. 胆囊炎
 ->E. 妊娠剧吐

534. 女性，32岁，G<sub>1</sub>P<sub>0</sub>，因“停经38周，阴道流液2 h”来院就诊，患者无腹痛，自觉胎动正常。PE：生命体征平稳，腹部膨隆，腹软，无压痛，宫高34 cm，腹围95 cm，胎心音145次/分。窥器检查：宫颈光滑，清亮液体自宫口流出，混有胎脂，测液体PH>6.5。诊断为
   A. 尿失禁
   B. 阴道炎
   C. 宫颈炎
 ->D. 胎膜早破
   E. 胎盘早剥

535. 患者35岁。G<sub>3</sub>P<sub>0</sub>，妊娠37周，夜间醒后发现阴道出血多量，无腹痛，妊娠20周后反复出血4次，曾予保胎治疗，子宫软，压痛（-），无宫缩，胎位LSA，臀部位于耻骨联合上方高浮，胎心音140次/分，耻骨联合上闻及胎盘杂音，最可能的诊断是
 ->A. 中央性前置胎盘
   B. 部分性前置胎盘
   C. 边缘性前置胎盘
   D. 低置前置胎盘
   E. 轻度胎盘早剥

536. 妊娠37周，双胎妊娠（头、臀），伴阵发性腹痛3小时，阴道出血2小时，如月经量，半小时前阴道流水，色清。检查：ROA/LSA，胎心128～132次/分，先露浅入，于耻骨上可闻及与母体脉率一致的吹风样杂音；宫缩规律，最可能的诊断为
   A. 胎盘早剥
   B. 帆状胎盘前置血管破裂
   C. 完全性前置胎盘
 ->D. 边缘性前置胎盘
   E. 产程中正常现象
解析：双胎妊娠胎盘面积较大，易发生前置胎盘，该病例胎盘位于耻骨联合上方，又有胎膜早破，阴道流血，首先考虑边缘性前置胎盘。

537. 初产妇，39周妊娠，规律宫缩10小时，宫口开大2 cm，胎膜未破，下列处理错误的是
   A. 除外假临产
   B. 可选择静滴缩宫素，加强宫缩
 ->C. 继续观察，尽量不干预产程
   D. 首选治疗性休息
   E. 阴道检查，除外头盆不称
解析：初产妇产程在进展缓慢时，需要积极干预的时点是各产程最大时限的一半时间，即潜伏期8小时，活跃期4小时，第二产程1小时。查找产程进展缓慢的相关原因，进行处理，决定分娩方式。

538. 患者32岁，G<sub>3</sub>P<sub>1</sub>，急诊剖宫产术后1天，体温38.2℃，医师首先要做的是
   A. 应用广谱抗生素预防感染
   B. 对常见的需氧菌和厌氧菌联合用药
   C. 确定感染部位
   D. 确定病原菌
 ->E. 除外非感染性发热

539. 女性，28岁，新婚3天，性生活困难来诊。查体：外阴皮肤变薄干燥，小阴唇萎缩近消失、有裂口，阴道外口狭窄。对患者的治疗应采用
   A. 阴道外口扩展术
   B. 外阴整形术
   C. 处女膜切开术
 ->D. 外用丙酸睾酮软膏加地塞米松
   E. 口服甲睾酮

540. 女性，30岁，因卵巢“囊腺瘤”手术治疗，术中诊断为“卵巢透明细胞癌ⅠA”。G<sub>2</sub>P<sub>1</sub>A1L1，再婚有生育要求。手术原则是
 ->A. 分期手术
   B. 附件切除术
   C. 肿瘤剥除术
   D. 患侧附件切除+对侧卵巢活检
   E. 患侧附件切除+可以病灶活检

541. 经产妇，36岁，妊娠40周，规律性下腹痛4小时入院，B超提示单胎头位，双顶径9.8 cm，胎盘侧壁附着，羊水适量。入院后产程进展尚顺利，宫口开全1小时胎头拨露，右枕后位，胎心频发减速，遂给予会阴侧切术助产接生，宫缩时于腹部加压，随后产妇自述下腹剧痛后腹痛消失，之后全腹疼痛。腹部检查：腹壁紧张，超声多普勒未听及胎心，先露回缩，阴道内手指向上推动时流出多量血性液体。诊断应是
   A. 胎盘边缘静脉窦破裂
   B. 宫颈裂伤
   C. 胎盘早剥
   D. 前置胎盘
 ->E. 子宫破裂
解析：该例子宫破裂可能与胎儿较大，胎心减慢后，处理时忙乱，腹部加压不当综合因素所致。

542. 女性，18岁，因卵巢肿瘤8 cm，手术治疗，术中探查右侧结肠沟、大网膜散在粟粒样结节，活检快速病理提示“卵巢无性细胞瘤”。决定手术方式为
   A. 患侧附件切除
   B. 患侧附件切除+大网膜
 ->C. 患侧附件切除+大网膜+肉眼可见癌灶切除+盆腔及腹主动脉旁淋巴结清扫
   D. 患侧附件切除+转移粟粒样结节切除
   E. 双附件切除+子宫+大网膜+肉眼可见癌灶切除+盆腔及腹主动脉旁淋巴结清扫
解析：由于恶性卵巢生殖细胞肿瘤多为单侧发病，即使复发也很少累及对侧卵巢和子宫，而且卵巢恶性生殖细胞肿瘤对化疗十分敏感。因此对于希望生育的年轻患者无论期别早晚，只要对侧卵巢和子宫未受肿瘤累及，可考虑行保留生育功能的手术，同时行全面分期手术。

543. 女性，60岁，绝经4年，白带增多2个月，性交后白带带血2次就诊。妇科检查阴道无充血，宫颈上唇10～12点处呈乳头状糜烂，易出血，下唇滑腻，内诊（-），B超（-）。可能的出血原因是
   A. 老年性阴道炎
   B. 子宫内膜癌
   C. 宫颈息肉
 ->D. 宫颈癌
   E. 宫颈湿疣

544. 女性，42岁，已生育，诊为葡萄胎，子宫超过孕14周大，首选治疗方案为
 ->A. 清宫术
   B. 直接切除子宫
   C. 先清宫再切除子宫
   D. 先化疗再清宫
   E. 部分切除子宫

545. 41岁，妇科检查宫颈糜烂样改变，宫颈细胞学检查为ASC-US，高危型HPV（-），最合适的处理应为
 ->A. 6～12个月复查宫颈细胞学
   B. 分段诊刮术
   C. 全子宫切除术
   D. 宫颈LEEP锥切术
   E. 宫颈活检
解析：重复宫颈细胞学检查、阴道镜或HPV高危型DNA检测对ASC-US女性都是可接受的处理方法。ASC-US女性高危型HPVDNA检测阴性时，可以12个月后再重复细胞学检查来随诊。高危型HPVDNA检测阳性，但活检没有发现CIN者，可以在6个月和12个月时再重复细胞学检查，若结果仍是ASC-US或更严重，应再次作阴道镜，或12个月时重复高危型HPVDNA检测，对所有高危型HPVDNA检测阳性的女性应再次作阴道镜。采纳重复宫颈细胞学检查的方法时，ASC-US女性应按4到6个月的间隔重复细胞学检查（无论是传统的或是

546. 孕妇，24岁，停经24周，发现血压升高1周，血压最高145/92 mmHg，查体24小时尿蛋白300 mg，否认既往不良疾病史。孕妇最恰当的诊断为
   A. 妊娠期高血压
 ->B. 轻度子痫前期
   C. 重度子痫前期
   D. 子痫
   E. 慢性高血压并发子痫前期

547. 女性，50岁，近1年月经周期延长，经量减少，时感潮热、出汗，激动易怒。最可能的诊断是
 ->A. 围绝经期综合征
   B. 神经衰弱
   C. 甲亢
   D. 经前期综合征
   E. 抑郁症

548. 女，23岁，停经40余天，诊断为早孕，因人工流产失败，继续妊娠后，16周时出现剧烈腹痛伴心悸、头昏、四肢湿冷，最可能的诊断是
   A. 宫外孕破裂
 ->B. 残角子宫妊娠破裂
   C. 疤痕子宫破裂
   D. 难免流产
   E. 胎盘早剥

549. 女，50岁，绝经1年，阴道流血水1个月，阴道细胞学检查见不典型腺上皮纤毛细胞。最可能的诊断为
   A. 子宫颈管癌
   B. 子宫内膜癌
   C. 绒毛膜癌
 ->D. 输卵管癌
   E. 卵巢癌

550. 孕妇，28岁， G<sub>1</sub>P<sub>0</sub>，38周妊娠，今天上午行走时不慎被路人撞击腹部后即感腹胀、腹痛，并有多量暗红色阴道流血。检查：子宫张力高，压痛不明显，胎头先露，胎心率124次/分。采用B型超声检查时应注意
   A. 胎儿大小
   B. 胎方位
   C. 胎心率、胎动
 ->D. 胎盘后血肿形成
   E. 胎盘成熟度

551. 女性生殖器恶性肿瘤预后最差的是
   A. 外阴鳞状细胞癌
   B. 宫颈鳞状细胞癌
   C. 子宫内膜癌
 ->D. 卵巢浆液性囊腺癌
   E. 卵巢黏液性囊腺癌

552. 女性，24岁，孕16周，有支气管哮喘史，B超提示宫内中期妊娠，单胎，无脑儿畸形，要求终止妊娠，应选用何种方法引产
   A. 负压吸引术+取环术
   B. 钳刮术
   C. 米非司酮+米索前列醇引产
 ->D. 利凡诺（依沙吖睫）羊膜腔注射引产
   E. 剖宫取胎术

553. 女性，29岁，原发不孕2年，月经规律，周期28～30天，基础内分泌检查正常，超声监测卵泡发育，月经第10天，左卵巢最大卵泡1.2 cm，月经第14天左卵巢最大卵泡1.8 cm，月经第18天左卵巢卵泡2.5 cm，透声欠佳，内有网格状回声，同时测基础体温双相。认为
   A. 正常排卵
 ->B. LUFS
   C. PCOS
   D. 左卵巢良性肿瘤
   E. 左卵巢巧克力囊肿
解析：超声检查有卵泡发育，但是没有排卵，基础体温双相，应是黄素化未破裂卵泡综合征。

554. 初产妇，40周妊娠临产，宫口开全约2小时，处理错误的是
   A. 应行阴道检查，除外头盆不称
   B. 在判定头盆相称的基础上，指导产妇产程
   C. 先露头+3，提示双顶径已越过中骨盆横径，可行胎头吸引器或产钳助产
   D. 先露头+2，伴胎儿窘迫，行剖宫产终止妊娠
 ->E. 先露头+2，胎头下降停滞，有产瘤，胎心正常，加强宫缩，经阴助产
解析：属于第二产程延长。E选项可能存在头盆不称，应选择剖宫产分娩。

555. 女性，22岁，G<sub>1</sub>P<sub>0</sub>，孕24周，发热伴恶心、呕吐、右侧下腹痛12小时入院，入院后诊断为妊娠合并急性阑尾炎。对于该病人处理正确的是
 ->A. 立即手术治疗切除阑尾，术后抗感染、保胎治疗
   B. 首选广谱抗生素保守治疗，同时加用抑制宫缩的药物，尽可能保守治疗
   C. 首先广谱抗生素保守治疗，1周后切除阑尾，术后保胎治疗
   D. 应行引产术后行阑尾切除术
   E. 阑尾切除术后行引产术
解析：妊娠期急性阑尾炎不主张保守治疗，一旦确诊，应在积极抗感染治疗的同时立即手术治疗，术后应继续给予抗感染治疗，选用对胎儿影响小、敏感的抗生素。术后3～4日内给予抑制宫缩及镇静的保胎药物治疗。

556. 初产妇，足月妊娠，宫口开大3 cm，4小时后宫口约5 cm，处理错误的是
   A. 应行阴道检查，除外头盆不称
   B. 可行人工破膜，静滴缩宫素加强宫缩
   C. 保持有效宫缩，并监护胎心
   D. 若发现枕后位等胎位异常，改变孕妇体位，促进胎头枕部向前旋转
 ->E. 宫缩20～30秒，强度中，宫缩间歇5～6分钟，观察2小时，产程无进展，行剖宫产终止妊娠
解析：初产妇活跃期超过8小时或宫口扩张＞1.2 cm/h属于活跃期延长。该患者宫口扩张速度为0.5 cm/h，活跃期宫缩频率一般为50～60s/2～3 min，E项所述情形属于宫缩乏力，可除外头盆不称后，加强宫缩，动态密切观察宫口开大和胎头下降情况。

557. 患者38岁，孕3产1，月经量增多1年，轻度贫血，妇科检查子宫稍大，余未及明显异常，下一步最需要的辅助检查
   A. B超
 ->B. 宫腔镜检查
   C. 下腹平片
   D. 血常规
   E. 盆腔CT

558. 高泌乳素血症的患者，MRI检查：垂体大腺瘤。血清PRL：1590 ng/ml。生长激素轴、肾上腺轴均正常。如果采用药物治疗，首选的是
   A. 赛庚啶
 ->B. 溴隐亭
   C. 奥曲肽
   D. 酮康唑
   E. 黄体酮

559. 患者，35岁，继发闭经1年，雌激素试验（+），FSH、LH值均&lt;5 U/L，多次重复垂体兴奋试验无反应，闭经的原因在
   A. 丘脑下部
   B. 卵巢
 ->C. 垂体前叶
   D. 子宫
   E. 垂体后叶
解析：垂体兴奋试验无反应，病变在垂体，而且垂体前叶是腺细胞所在地。

560. 女性，30岁，肥胖，阴道炎反复发作，如不治疗几乎每月均有大量豆腐渣样白带，且瘙痒严重。给该患者的治疗建议错误的是
   A. 减轻体重，穿透气衣裤
 ->B. 性伴侣无需治疗
   C. 避免常规阴道冲洗
   D. 根据分泌物培养和药敏结果选择药物
   E. 强化治疗后要巩固治疗
解析：难治性VVC又称复杂性VVC，包括重度VVC、复发性VVC、妊娠期VVC。难治性VVC建议性伴侣也检查治疗。

561. 女性32岁，妇科体检发现左侧附件有一包块，4 cm×5 cm大小，光滑，囊性与子宫无粘连，活动良好，该患者月经正常，无阴道不规则出血。首先应考虑的诊断是
   A. 子宫肌瘤
 ->B. 卵巢囊肿
   C. 早孕
   D. 宫外孕
   E. 附件炎

562. 女性，36岁，药物流产后阴道反复流血，再次清宫术后，出现下腹坠痛，B超发现盆腔包块1天。妇科检查：子宫后位、正常大小、压痛，左附件区可触及直径约6 cm的包块，囊性，边界不清，压痛明显。最可能的诊断为
   A. 盆腔脓肿
 ->B. 左附件炎性包块
   C. 卵巢恶性肿瘤
   D. 左卵巢良性肿瘤
   E. 左卵巢囊肿蒂扭转

563. 女性，30岁，原发不孕4年。月经规律，无痛经。子宫输卵管碘油造影提示：双侧输卵管不通；丈夫精液常规为精子密度60×10<sup>6</sup>/ml，活动数40%，精子畸形率为45%。适合于该夫妇的治疗方法为
   A. AIH
   B. 药物促排卵
   C. AID
   D. ICSI
 ->E. IVF-ET

564. 女性，32岁，妊娠9周，恶心、呕吐2周，诊断为妊娠剧吐。以下处理措施，说法错误的是
 ->A. 维生素B<sub>6</sub>缺乏可导致Wernick-Korsakov
   B. 禁食期间，需补液3000 ml左右
   C. 必要时可用异丙嗪镇静治疗
   D. 维生素B<sub>1</sub>肌内注射
   E. 监测24 h尿量不少于1000 ml，尿比重不低于1.018
解析：维生素B<sub>1</sub>缺乏可引起Wernicke综合征，维生素B<sub>6</sub>是止吐剂。

565. 患者，25岁，有先天性心脏病史，孕前来咨询，下列哪种情况不宜妊娠
   A. 法洛四联症，已纠正
   B. 房间隔缺损
   C. 动脉导管未闭
 ->D. 艾森曼格综合征
   E. 室间隔缺损已手术

566. 初产妇，28岁，破膜后宫缩过强，不久突然出现烦躁不安、呛咳、呼吸困难、发绀，并出现休克。此时抢救原则不包括
   A. 加压给氧，准备气管插管
   B. 静注地塞米松40 mg
   C. 静脉补充血容量
   D. 静注阿托品1 mg
 ->E. 子宫切除术
解析：子宫切除问题应根据能否控制子宫出血及能否耐受手术而定。

567. 妊娠20周患者合并右侧输尿管结石，突发腰腹疼痛，保守治疗无效，伴输尿管梗阻，以下哪种治疗方式为宜
   A. 开放式手术
   B. 膀胱镜下输尿管支架植入术
 ->C. 经皮肾穿刺造瘘术
   D. 终止妊娠

568. 女性胎儿卵巢开始分化发育是在妊娠
   A. 15～16周
   B. 17～18周
   C. 9～10周
 ->D. 11～12周
   E. 13～14周

569. 女性，33岁，G<sub>2</sub>P<sub>2</sub>，3年前末次分娩行产钳助产术，近半年来阴道口有肿物脱出。查体宫颈及部分宫体脱出阴道口外，伴阴道壁明显脱垂，子宫大小正常，双附件（-）。治疗方式应选择
 ->A. 曼氏手术
   B. 经腹子宫切除及阴道前后壁修补术
   C. 经阴子宫切除及阴道前后壁修补术
   D. 阴道封闭术
   E. 子宫托

570. 孕妇，38岁，孕3产1，孕37周由救护车急诊送院，患者血压210/120 mmHg，体温39.3℃，心率150次/分，恶心呕吐，烦躁不安。初步诊断考虑什么
   A. 妊娠合并甲亢
 ->B. 妊娠合并甲亢危象
   C. 妊娠合并高血压危象
   D. 妊娠合并肾上腺危象
   E. 妊娠合并重度子痫前期

571. 女，30岁，平素月经规律，末次月经为2009年1月5日，此次月经量较以往明显减少，且一直淋漓不净，2009年1月20日出现左下腹剧痛，来院就诊，查体:贫血貌，四肢湿冷，BP80/50mmHg，P122次/分;妇科检查:阴道后穹隆饱满，触痛：宫颈光，宫口未开，举痛（+）；宫体饱满，压痛（+）；左附件区扪及5cm×4cm×4cm包块，边界不清，形态不规则，压痛C+）。尿hCG（+）。下列哪种检查方法最简单、可靠
   A. 血β-hCG
   B. 盆腔B超
 ->C. 后穹隆穿刺抽出不凝血
   D. 腹腔镜检查
   E. 诊刮

